Filename-->;FLOR_1.RFL8;FLOR_2.RFL8
Mode/Unit-->;;
Int.time[ms]-->;1,049999952;1,049999952
NrOfAverages-->;20;20
Smoothing-->;4;4
Wavelength [nm];;
172,206;5,158323701;3,470387117
172,805;9,415064565;7,760090048
173,404;2,277505843;7,203492138
174,003;12,01857421;7,305935911
174,602;4,040145085;2,848386509
175,201;13,86442639;5,555555269
175,800;6,19940299;3,741028812
176,398;13,26186098;-6,14480754
176,997;13,20095707;-9,889201619
177,596;8,429723135;-12,5039071
178,195;4,462972122;-13,57681017
178,793;11,97108792;-9,173871483
179,392;8,027765413;-14,19114036
179,991;14,57686555;-12,03140054
180,589;10,7443167;-8,558222709
181,188;8,306805932;-6,093475839
181,786;6,252887785;3,02355216
182,385;5,403773778;7,359236427
182,983;4,283284282;8,686288268
183,581;4,607562906;4,013440762
184,180;-3,937531546;-6,355103889
184,778;-10,8301446;-4,572827009
185,377;-18,14530055;0,511509055
185,975;-12,12942252;3,949867673
186,573;-12,24394092;5,447690678
187,171;-8,431342462;-3,232163922
187,770;-6,942227544;-3,310371737
188,368;-6,471954795;6,072801792
188,966;-6,209886949;9,682776145
189,564;-0,723487025;15,7955668
190,162;9,986389516;15,9716353
190,760;14,68871515;16,54325225
191,358;5,613407198;13,71340469
191,956;7,207660567;11,56532377
192,554;0,53123284;18,54121279
193,152;-0,282956251;9,348626415
193,750;-1,980683937;1,912508338
194,348;-0,631648838;-2,01622772
194,946;-5,872073402;-0,361795184
195,543;-9,707668058;-2,92897891
196,141;-14,04428773;-1,530762607
196,739;-0,264101418;4,88113323
197,337;4,39832434;4,528122022
197,934;15,17889377;6,140556602
198,532;14,50854763;21,16686529
199,130;24,99490189;19,87915592
199,727;27,49800305;20,82938808
200,325;26,90747608;19,83062719
200,922;20,37113188;25,0637074
201,520;26,66005901;21,46844877
202,117;14,57943715;15,22928772
202,715;14,04101266;9,707955595
203,312;6,763171131;16,79171031
203,909;14,50176006;0,906581983
204,507;10,37968856;-9,193285165
205,104;11,69111263;-13,49978059
205,701;21,35511233;-22,48892982
206,298;28,19211194;-26,76409368
206,896;21,81097293;-33,32629754
207,493;31,67627709;-27,20574996
208,090;30,01237667;-21,20517621
208,687;26,16301453;-28,74336252
209,284;17,1612646;-18,77280265
209,881;16,04962182;-13,19368471
210,478;14,03007877;-19,63375852
211,075;8,608587832;-19,33231236
211,672;8,07374463;-17,04269394
212,269;14,29125414;-19,41321123
212,866;3,745019735;-22,67981375
213,463;9,755172114;-26,57328026
214,060;6,998939258;-38,27859662
214,657;19,92612291;-37,65659647
215,253;20,7810312;-34,84963331
215,850;19,92571567;-21,49220527
216,447;17,61990839;-26,45998598
217,044;21,71367743;-23,00741407
217,640;13,99784058;-21,31147594
218,237;19,2931034;-7,513629716
218,833;13,75934567;-7,619720041
219,430;13,7238772;-3,670314867
220,026;9,940627331;-6,954846316
220,623;10,77123363;-2,330464478
221,219;8,357395425;-4,059877154
221,816;9,971605159;-7,121277888
222,412;-0,11391714;-22,16408982
223,009;8,602759983;-28,66651362
223,605;3,287027471;-32,45441128
224,201;4,466098737;-43,77671091
224,798;5,863939338;-44,69307471
225,394;1,331043618;-36,3168416
225,990;-2,893519373;-29,69506553
226,586;4,271801659;-36,286548
227,182;6,138160533;-27,8671217
227,778;10,02482325;-17,64408458
228,374;1,652386775;-6,214977154
228,971;13,13320867;-26,5894377
229,567;8,664192799;-22,41112699
230,163;10,41435432;-29,55426354
230,758;18,43335229;-44,84443602
231,354;16,71866517;-48,76711969
231,950;14,10876766;-42,79564582
232,546;9,44524666;-41,668749
233,142;19,89307435;-35,32152932
233,738;32,82426527;-32,82355494
234,334;27,77660396;-23,13707574
234,929;30,43719996;-13,10034313
235,525;32,5298981;-2,657734749
236,121;28,29550889;-3,273388109
236,716;27,98024526;-7,340081937
237,312;26,61882155;-11,4502157
237,907;27,8910515;-9,26510356
238,503;21,70181786;-8,658115356
239,099;11,36435037;-8,219532114
239,694;6,417295702;-8,836415629
240,289;0,7785796;-17,14681446
240,885;0,942507017;-21,68674658
