Filename-->;PUNTA_LILA.RFL8;PUNTA_LILA_2.RFL8;PUNTA_LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
248,622;-1,951758431;-1,263501171;11,24127106
249,217;-4,60288792;-2,080000286;8,537634175
249,812;-12,32346703;-3,810975464;2,887727019
250,407;-7,828282684;-5,477659459;3,992656986
251,002;6,011328259;-4,663947453;5,484841615
251,597;6,990715616;-3,895130969;13,03966692
252,192;6,263127766;0,950683265;11,06138137
252,786;-3,72340402;-6,117404472;7,916251404
253,381;-2,224409502;-6,498436759;-4,709376243
253,976;-4,983659945;-8,258348527;7,773066773
254,571;-6,729362201;-8,398196905;3,186616425
255,165;1,12216811;-1,371951305;5,962552418
255,760;5,186419423;5,965970251;3,324417197
256,354;-4,752431271;6,789685132;-1,568012424
256,949;-0,388071902;10,81022086;2,673170844
257,543;2,627045689;3,8837211;3,278354623
258,138;9,928330426;8,838500353;-0,72463763
258,732;2,502482548;13,28888931;3,585423219
259,327;6,487655365;25,41501131;7,021044899
259,921;5,095420018;25,97521847;10,19481738
260,515;3,398669507;18,09501637;11,14404326
261,110;-5,837337722;14,90774879;14,04709158
261,704;-3,617477587;18,16894747;23,83633612
262,298;-12,53157242;7,770632457;14,27464721
262,893;-9,050301397;15,12361913;11,18546812
263,487;-14,11812346;12,38144004;14,12014637
264,081;-0,248044308;14,25454504;20,7655687
264,675;-5,937695904;0,854915771;14,652248
265,269;-4,407385506;-1,502145901;11,42387476
265,863;2,955870199;9,653631223;19,17372898
266,457;10,55781123;9,883970612;19,97296377
267,051;7,436355481;3,59743958;14,44383959
267,645;5,982122714;8,542825654;11,06749009
268,239;-3,518859459;-0,229832077;11,49913227
268,833;7,144349113;4,654932947;13,7670745
269,427;6,204081894;5,789473641;18,50096558
270,021;5,33762063;7,156926836;13,91851672
270,614;6,612685565;5,854293226;15,31143413
271,208;-7,801269041;-2,603550387;11,39698447
271,802;-3,395311233;1,410891099;17,12562856
272,396;3,195603563;3,907935926;14,67761408
272,989;6,170009048;9,219698555;24,5485435
273,583;10,1640509;6,252640225;25,17527099
274,177;5,710491224;3,098952964;29,77608406
274,770;-1,044277442;2,070141276;20,12924161
275,364;-1,967272833;-0,167744178;26,01458493
275,957;-5,579323084;-0,912547782;26,51028166
276,551;2,082962717;1,727591841;28,86124654
277,144;-11,53247849;-15,12403346;19,571713
277,737;-12,63255772;-12,96192626;19,64960498
278,331;-21,27436586;-24,57124887;10,30182583
278,924;-24,9666827;-16,43497022;8,279406468
279,517;-19,80434709;-19,56231595;4,431487273
280,111;-23,30357232;-23,52120549;9,322033124
280,704;-23,46561513;-18,53807627;4,194830679
281,297;-10,74873681;-14,65561834;5,309403804
281,890;-11,28845723;-16,62701592;-7,713325199
282,483;-3,190630053;-3,117887805;1,518438072
283,077;-3,557788987;-4,70588232;-2,036825908
283,670;0,453227181;2,93322258;2,143925625
284,263;0,342583234;4,106226321;-2,720139222
284,856;-2,232142768;6,61835768;-2,978112366
285,449;-3,856175139;-2,735914421;-8,973369141
286,042;-1,028037452;-9,997757743;-14,93177439
286,634;0,098077721;-5,027675014;-21,63707966
287,227;-10,98603281;-8,208365722;-22,00734807
287,820;-11,86479714;-9,608442877;-24,41390566
288,413;-12,59615358;-10,63672262;-13,31775653
289,006;-3,850641602;-20,36941986;-14,97504149
289,599;-8,254963967;-23,071446;-5,903399157
290,191;-18,51225848;-27,39463684;-13,90097439
290,784;-13,26194476;-17,78666738;-5,353799801
291,377;-7,575757529;-6,34052987;4,778406426
291,969;-16,66242033;-9,56764193;14,95578573
292,562;-13,29265146;-7,68037282;13,09432497
293,154;-13,02816836;-10,73735143;11,58301167
293,747;-15,78693482;-17,92768082;-1,996992738
294,339;-18,4805906;-0,322960009;-4,604051718
294,932;-8,441100574;11,29389316;-5,833511348
295,524;-5,459900314;8,761407384;0,020040133
296,116;4,244589514;10,37886961;-6,266318628
296,709;6,310868747;19,67213201;-4,021288616
297,301;3,34918735;11,19385043;-13,36614166
297,893;8,560885146;14,02747594;-8,627678805
298,486;10,72796933;13,67000466;-10,14996272
299,078;9,542509877;26,11683953;1,949051409
299,670;2,941176703;13,82752826;-0,723763612
