Filename-->;LILA_1.RFL8;LILA_2.RFL8;LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;4,918032698;-5,507474474;13,07273284
172,805;6,400528293;-3,99239558;9,879518377
173,404;6,56912534;-1,994302296;16,67007095
174,003;11,57112488;0,608364451;17,14285718
174,602;13,16348163;-1,615335243;18,0315432
175,201;11,98022097;6,331208647;16,8130288
175,800;7,237846623;1,673004358;16,47100694
176,398;6,185091594;8,357809786;19,06052352
176,997;9,131603224;2,057971193;17,57101307
177,596;18,63383937;20,34271806;19,8325937
178,195;23,88457289;19,04761851;27,1440895
178,793;27,60711404;25,78933635;27,75562124
179,392;25,0464581;16,12695645;38,13766453
179,991;30,461057;21,79203402;36,48403414
180,589;29,59161924;13,31770787;44,54335837
181,188;30,0171515;19,60238667;47,01163746
181,786;28,00268411;21,71765219;49,75993008
182,385;32,63695346;28,76661049;53,00014327
182,983;25,27131684;16,68854388;53,64613532
183,581;22,01609268;16,77840174;48,66909125
184,180;10,78717186;8,257713642;45,43413181
184,778;16,5232363;7,787834354;39,69251102
185,377;14,06943834;7,951510651;47,00051161
185,975;15,949523;14,59412716;43,5152397
186,573;19,34181325;13,34012168;37,32261872
187,171;22,9357791;15,8462445;29,14519235
187,770;16,09055975;9,366938469;24,3422231
188,368;19,71622215;11,97228808;19,33919897
188,966;18,35889051;17,63744029;22,28517508
189,564;12,19620984;22,33375186;25,61690287
190,162;-2,4918027;20,93786343;22,38501587
190,760;-11,49173965;16,168032;14,99999909
191,358;-5,574837257;0,018970357;14,29593837
191,956;-9,423744153;-2,265890522;25,11504721
192,554;-8,634868032;-5,583150623;32,5993663
193,152;-11,25982557;-7,813471029;34,05084381
193,750;-16,29127564;-20,21168442;31,3030343
194,348;-15,16587677;-22,14926593;28,60972155
194,946;-2,225684052;-24,75247436;27,04826016
195,543;2,870478763;-31,04492523;29,65578197
