Filename-->;PETALO_CLARO_1.RFL8;PETALO_CLARO_2.RFL8;PETALO_CLARO_3.RFL8;PETALO_CLARO_4.RFL8;PETALO_CLARO_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
172,206;7,979924677;14,89757933;24,35101667;12,20757158;30,83101532
172,805;6,651973471;23,29875983;15,23500739;15,71475754;31,48667528
173,404;0,476553565;17,60407417;11,04913118;3,603603605;29,48745618
174,003;5,141930375;16,41850207;4,798644868;1,763668457;29,50138661
174,602;5,922386354;10,86256222;3,912229779;6,758977228;26,88553732
175,201;8,257143184;14,72231961;-4,3897402;2,97213625;28,59887987
175,800;10,0998241;17,45334666;6,485484651;9,157291897;36,09364014
176,398;12,56103;21,19944328;3,515379402;9,977020464;37,71056006
176,997;7,762924989;13,40482607;1,932056008;5,219723658;30,20350496
177,596;8,544410497;3,412969399;-0,741839792;3,235236773;26,2978544
178,195;9,583952515;-2,01709404;2,818489209;2,755141695;18,26618355
178,793;15,0909085;-0,456100474;4,463632504;13,50290173;24,37357529
179,392;17,82579419;0,768224953;7,098181468;17,64906327;17,29494311
179,991;17,06472858;2,931379312;3,28909427;11,84330451;19,34978562
180,589;10,66814339;-0,415009472;7,891492159;11,83494292;10,94655531
181,188;11,6751269;-10,59701499;-7,516505679;13,39487861;9,321453283
181,786;17,98193175;-14,28313368;-1,369208524;17,31625765;6,411341198
182,385;17,48229774;-10,15237341;-9,114052665;17,3125614;6,414473899
182,983;20,81751748;-1,332859462;-2,487149799;24,55887654;20,08675876
183,581;18,53342943;-6,203043947;-1,741159579;25,04540618;16,18389031
184,180;16,30386451;-5,667130974;-1,517738845;20,92438675;6,983882963
184,778;12,26948288;-8,059943368;-2,72709833;19,64249039;8,873856318
185,377;10,71038251;-9,103421016;9,350850377;27,89750912;7,850431519
185,975;16,86765066;-10,72046128;0,921749451;27,82169724;15,11779014
186,573;16,26505968;-4,465620235;10,38789025;28,96551682;11,79324281
187,171;18,19248868;-0,575374058;3,717472124;23,73716712;15,01901043
187,770;14,318405;-4,749804762;4,241372806;11,32075445;6,204830296
188,368;9,195603239;-10,27411154;-4,597241929;5,685978712;3,518387263
188,966;14,03916361;-1,544622476;6,781226435;7,291242023;13,78437695
189,564;19,14668563;-6,687222833;2,288072037;9,40927419;16,8826846
190,162;12,79801601;-8,634884097;5,348793486;4,143906716;19,50691336
190,760;19,02259578;1,379444233;-0,21256074;0,819379998;20,29532376
191,358;15,26744023;6,709677469;13,02491118;-0,132780078;20,94490908
191,956;22,00367698;6,860551953;9,559726691;-2,484471621;25,36469688
192,554;16,2045713;0,686456409;13,65351611;-3,609671771;22,51366116
193,152;17,73523582;6,66421236;17,25897196;2,91164664;28,44509944
193,750;12,81950472;-0,801526672;19,8687578;0,778065974;21,31336433
194,348;22,09302459;-1,936257643;13,42281943;1,38283762;22,05323183
194,946;13,67358593;-0,124732752;18,42606719;-1,507222215;20,59925127
195,543;21,20726515;3,218997376;16,05444705;0,283471478;24,61784134
196,141;18,33054399;-6,383731254;12,46547524;-3,477868149;24,65625726
196,739;19,82961838;-5,4438088;6,621898942;-7,312613931;21,61100168
197,337;14,73853903;-9,550667191;10,38417606;-13,14619815;17,70186356
197,934;16,86639144;-2,562096826;3,305463295;-9,385327051;22,94745359
198,532;13,15007454;-11,75119317;6,962025213;-9,320345597;26,74161717
199,130;16,43936536;-8,317400191;-4,9825719;-16,36025141;16,9729964
199,727;6,063658014;-16,98920001;-12,70276594;-25,51889469;12,74606416
200,325;12,96364143;-9,01174609;-10,42918527;-7,852789864;19,04075847
200,922;10,70195628;-14,62178109;-12,0164256;-1,629423455;17,58593125
201,520;14,27536329;-10,50068152;-7,51004836;3,694952129;22,18477349
202,117;11,55281825;-12,69561772;-1,971090716;7,079004554;23,62188381
202,715;12,36227731;-3,654302871;-1,304714073;16,11271641;27,28761599
203,312;8,220926445;-5,488455031;6,408407078;19,46971539;22,46200035
203,909;12,88056089;6,246429025;3,260421186;20,80352408;20,60158968
204,507;12,45725495;1,405761911;8,582599985;27,92164004;25,28796772
205,104;14,24944385;-1,847144846;5,837611883;26,96577069;24,35919245
205,701;16,37116749;3,415229279;3,506154566;19,3843799;23,91820298
206,298;15,2669327;5,844275664;-1,438998914;8,326575252;18,37366842
206,896;13,07466564;4,011887072;4,433887962;5,347431958;13,92727246
207,493;12,20403613;2,451168126;0,829875452;11,95115623;14,88549554
208,090;16,61904766;-4,784202237;3,921128733;6,583333172;13,63267063
208,687;18,9801706;-14,19820659;-10,88280064;-0,677371235;13,39756931
209,284;14,93776032;-20,23676482;-14,96271352;1,066790678;9,293679418
209,881;21,04205276;-6,145966351;-11,20900563;-8,199472303;14,98349931
210,478;13,18622131;-5,793519552;-14,92159755;-18,43230312;1,263314174
211,075;11,48711947;-19,31359331;-17,18261813;-25,92309711;-15,23890257
211,672;11,20146298;-23,83354479;-5,858379326;-24,98653725;-12,61609924
212,269;4,367437732;-23,02333874;-30,20769703;-32,91308978;-19,55384141
