Filename-->;PETALO_OSCURO_1.RFL8;PETALO_OSCURO_2.RFL8;PETALO_OSCURO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;-6,999999887;-18,6549243;-1,314116167
172,805;0,903282733;-10,53159344;11,88858716
173,404;-3,351394672;-12,92536464;12,54946276
174,003;-4,850498466;-8,112703555;7,540080025
174,602;-4,746977495;-9,386655764;4,307116164
175,201;-6,246115501;0,785391762;5,172413964
175,800;-0,597282351;7,387484365;19,11705096
176,398;-4,625055765;18,03907236;22,14777563
176,997;-10,00681888;14,18671792;21,05379216
177,596;-14,58673967;16,24521162;19,12590965
178,195;-15,84323919;12,93626797;9,058331938
178,793;-8,705114482;17,46988047;6,560248978
179,392;-7,198595451;12,86876849;12,02506929
179,991;-8,36614136;12,88154097;19,86936392
180,589;-9,461179864;-1,653486666;17,97225577
181,188;-11,18760747;-2,339499357;7,212317413
181,786;0,616103707;-5,357748115;10,25230369
182,385;-3,084618498;0,25431415;9,418127141
182,983;8,245968358;-0,017152658;12,76558744
183,581;-1,451869503;0,74576265;13,98576567
184,180;-13,33200459;-7,47126486;15,46698455
184,778;-20,27613374;-3,466776847;7,488567493
185,377;-18,78763534;-7,128790977;-1,15936362
185,975;-19,06662145;6,340508884;3,073731988
186,573;-16,3775506;-0,701236365;10,80620749
187,171;-15,42816776;2,142214289;14,85691874
187,770;-14,9737305;-12,5381718;15,01672865
188,368;-21,1930916;-14,12661247;12,12594858
188,966;-3,491525552;-10,57761712;18,22135108
189,564;2,98352128;-7,545470637;17,669089
190,162;8,614035463;-13,4144161;26,74418488
190,760;4,803870726;-3,205919134;34,43681015
191,358;9,652836884;-4,234143229;37,58196655
191,956;6,19391212;2,123518165;32,36487922
192,554;1,986628415;-2,206019761;21,50490657
193,152;1,851475104;6,934896777;12,18515961
193,750;0,70656694;0;5,749718371
194,348;-4,945173489;4,902755306;3,466728844
