Filename-->;PET_OSCUSRO_1.RFL8;PET_OSCUSRO_2.RFL8;PET_OSCUSRO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
280,111;-20,44550521;-17,15277887;21,44740123
280,704;-22,2556886;-13,97959248;26,70272878
281,297;-14,83454739;-17,82637647;18,16961706
281,890;-9,997109879;-20,71968816;16,20474522
282,483;-6,779221321;-28,97672273;6,486063457
283,077;-5,924693648;-27,90908968;1,238765994
283,670;-3,18059388;-22,72215995;-5,009496089
284,263;-6,386198093;-26,00840367;-0,311041693
284,856;-12,83497907;-14,99575131;5,581693951
285,449;-17,21254034;-18,46896239;4,995518981
286,042;-31,43124624;-12,80810938;-5,202311929
286,634;-51,19840241;-16,16835513;0,278670989
287,227;-42,52531354;-19,61211525;7,012986936
287,820;-38,04651362;-20,06311999;7,418993573
288,413;-37,75079448;-14,35395878;8,322524483
289,006;-27,19901751;-21,80636467;9,907261404
289,599;-29,74988013;-14,61683887;5,75168545
290,191;-39,97644836;-25,53482053;3,692432166
290,784;-42,97568086;-20,33176447;1,926407525
291,377;-28,94664843;-26,75731761;5,974338327
291,969;-20,65031213;-25,96778239;0,340651095
292,562;-14,57586604;-41,62499822;-2,994122395
293,154;-12,82705626;-40,01236835;1,690862432
293,747;-15,88305268;-53,22718584;0,331125506
294,339;-36,95357786;-43,66516118;2,952655696
294,932;-22,72727681;-46,48916645;0,17507011
295,524;-21,97539364;-36,11845582;-0,413496559
296,116;-27,81715047;-42,65365181;2,209944731
296,709;-25,79650528;-42,11942087;5,251998252
297,301;-22,095512;-35,25610404;11,34924588
297,893;-39,57713888;-23,15531985;11,83570825
298,486;-25,19128901;-25,5208329;18,9451763
299,078;-37,36393002;-8,553742153;16,02373822
299,670;-25,3355247;-1,527678009;13,22518068
300,262;-26,18152457;6,528081646;16,47461266
300,854;-19,06828663;8,606482248;6,347880659
301,446;-22,30073546;9,685579484;3,967015687
302,038;-29,86827067;10,76301139;-7,956353239
302,630;-28,35503657;17,01694971;-16,67042132
303,222;-15,07794564;17,65608985;-30,92710444
303,814;-16,38456309;23,27098007;-35,99621663
304,406;0,231043934;14,62127698;-33,46980424
304,998;-0,168255587;6,359080577;-17,56373864
305,590;4,17714178;-6,276934389;-22,10526211
306,182;5,76305559;-8,730312784;-12,61672997
306,773;10,44163489;-8,653458189;-10,57412752
307,365;11,51354012;-2,428810803;-1,604278164
307,957;8,283333381;-14,08858193;5,101500216
308,549;2,343886732;-12,48226932;10,4440786
309,140;-2,612453315;-17,78836146;9,3292476
309,732;-7,388796137;-21,69026787;-1,530700953
310,323;-16,61363655;-12,9392205;-17,74664312
310,915;-28,12714546;5,14261924;-22,30831982
311,506;-29,27016545;0,13831245;-14,24680443
312,098;-34,99584272;-1,04857666;-19,35001009
312,689;-29,42951181;-12,64056629;-27,03287198
313,281;-29,07995484;-13,69636875;-29,57716763
313,872;-34,6324181;-8,188375393;-15,8701937
314,463;-20,37176445;0,059808554;-10,10701577
315,055;-6,938379375;3,857450305;-3,481812947
315,646;-4,172972129;0,880383012;5,637435725
316,237;0,232214856;-16,06709783;17,00131652
316,828;-1,005608366;-11,19485293;8,570955081
317,420;3,692651759;-17,55374733;16,39789454
318,011;-11,50337185;-16,19640121;20,95539301
318,602;-15,95699022;-9,498285116;19,53038207
319,193;-3,452984428;-17,54462369;9,859588859
319,784;-9,026281331;-27,70012489;8,095315804
320,375;-19,75642796;-30,5166716;12,4370522
320,966;-15,0909494;-41,98513922;6,764797649
321,557;-11,31721552;-26,15902719;0,118283332
322,148;-10,18518572;-25,39722773;0,465758459
322,738;-12,51284192;-17,74483339;-1,160572784
323,329;0,490292036;-20,70626071;-6,435209878
323,920;3,31964397;-22,71111042;-0,523925813
324,511;0,408618098;-22,86415504;3,802969945
325,102;-1,914311744;-14,72981436;7,261548279
325,692;4,194598775;-23,30715367;11,88614316
326,283;-0,385282234;-12,10139083;16,93513358
326,874;-8,081244709;-26,64829171;14,70838079
327,464;-7,729362989;-15,9447342;11,18708919
328,055;-12,96390573;-14,72337436;10,20842194
328,645;-12,93016143;-3,895886007;15,25487696
329,236;-8,518930052;1,026957731;13,46205141
329,826;4,228469623;0,763966238;12,85731288
330,417;8,175814911;-12,14998395;12,61884183
331,007;5,098787803;-3,785766925;8,081067418
331,597;12,90166671;-14,27288988;7,80705457
332,188;14,15270183;-6,463986015;3,863444392
332,778;9,152940538;-12,27719683;8,441281357
333,368;15,58612918;-6,390460169;8,994252745
333,958;16,64934472;-8,330693378;12,22775821
334,548;11,5729897;-10,49822065;10,86924919
335,139;-0,214962329;-8,512042136;7,02373347
335,729;-5,405405754;-5,278276612;-2,887346336
336,319;-9,615796501;-8,478755394;-5,83743402
336,909;-8,482653643;5,53018834;-2,602462035
337,499;5,266841655;1,11722511;5,850891247
338,089;9,862692347;5,061848772;5,701818421
338,679;11,68605672;-3,848136072;9,712960086
339,269;14,49883492;-2,856199254;-2,305882261
339,858;16,16669424;-11,18376921;1,91314923
340,448;20,39001517;-12,96459345;7,193605789
341,038;29,64648709;-10,76519674;10,33421287
341,628;33,52037884;-5,734824472;11,50075914
342,218;32,3081488;-20,98120959;9,659254881
342,807;32,18942021;-19,61593786;8,802228901
343,397;33,73343949;-30,00558707;14,2094332
343,986;32,46434578;-30,2754046;11,21915791
344,576;31,12245038;-31,23775604;15,59233396
345,166;28,16858223;-25,79705493;13,1801338
345,755;24,13214768;-22,92109108;7,880005824
346,345;16,31639861;-21,23366932;9,891853086
346,934;14,06649529;-21,39481966;11,59041373
347,523;18,38136731;-21,10259709;6,294707169
348,113;10,19805394;-18,75713535;4,019664567
348,702;13,62981956;-17,08494319;3,506120859
349,292;18,43614316;-10,09515286;8,017318552
349,881;20,04504551;-20,25883456;7,922313869
350,470;21,06971764;-19,26636493;6,830074569
351,059;23,45960759;-18,18496626;10,39254452
351,648;26,47012268;-22,4558298;10,69847184
352,238;28,58306224;-28,56127992;3,929803241
352,827;29,79189536;-28,35982763;8,706278162
353,416;31,45763828;-26,51179961;1,83293255
354,005;29,37541727;-25,48291242;0,13723068
354,594;23,02683845;-32,03680532;-4,138408478
355,183;23,94530576;-24,44033683;-10,63796272
355,772;22,77796172;-23,43975361;-15,50279246
356,361;26,01827524;-28,41551409;-17,51813644
356,949;22,39787307;-17,37767805;-22,27185756
357,538;20,04463651;-16,98244355;-19,25150571
358,127;17,62379226;-11,23800078;-15,7634706
358,716;21,8213565;-11,4141089;-9,263279937
359,304;19,8028288;-4,847512224;-8,089887133
359,893;23,74770977;-12,05991321;-6,335566298
360,482;20,78336202;-11,28857113;-7,86652598
361,070;25,44987065;-17,48143585;-7,767291455
361,659;18,8989052;-12,81974623;-4,181523439
362,247;23,37469693;-16,30267565;8,091226006
362,836;21,43359056;-9,913392718;4,656130217
363,424;23,34379554;-11,81860511;3,617052756
364,013;18,1361051;-12,60318336;4,724985236
364,601;21,31511435;-18,00084042;4,694291435
365,190;17,61407648;-11,95456341;2,43080958
365,778;22,18225559;-10,16949154;8,18001292
366,366;19,79580335;-5,000000253;10,52975779
366,955;24,93619245;-2,950643751;10,15744094
367,543;22,45585599;-8,617021267;-1,751765473
368,131;17,72628149;-11,71067786;3,559142608
368,719;16,57819041;-5,661454145;2,613346138
369,307;20,73459765;-6,155904809;7,039710769
369,895;16,15306879;-4,274937025;2,664811683
370,483;15,20694488;-1,271343614;4,195449244
371,071;9,162117261;-1,885560386;2,24448169
371,659;12,98466418;-3,371119322;5,23497842
372,247;11,32000002;-7,074857695;1,525885945
372,835;9,581272257;-4,491755115;3,303684828
373,423;12,10148924;-1,687785864;4,084074023
374,011;9,869486493;-2,360495018;5,883526143
374,599;6,299275037;0,308004351;5,087838607
375,186;5,413487225;1,184825916;4,67832032
375,774;5,174141633;0,665807247;3,524820401
376,362;5,259657447;0,131277014;3,458293129
376,950;2,801657952;1,023816625;1,755501156
377,537;3,561775762;1,085525404;2,491841461
378,125;3,437122667;1,982881949;2,640379349
378,712;3,597420288;0,675407854;1,977345282
379,300;4,066920036;-0,164744662;1,241054282
379,887;4,424476345;-0,880296235;0,062507185
380,475;4,490864534;-0,879925549;-0,288909878
381,062;3,941179576;-0,81600419;-0,299742667
381,650;3,728794975;-0,079434008;-0,410814671
382,237;4,471555511;-0,120325079;0,76687529
382,824;3,207351166;0,868272526;0,263887179
383,411;3,469224561;0,830871694;0,251822694
383,999;3,225733665;1,288231395;0,544920154
384,586;2,745968383;1,765029852;0,983509887
385,173;2,620832798;1,95837669;1,343828814
385,760;2,864227957;2,330539539;1,707448169
386,347;3,078494433;2,410477354;1,466490034
386,934;3,595781752;2,05816662;1,708871262
387,521;3,478374317;2,275684338;1,582004072
388,108;3,799874707;2,329757283;1,68662877
388,695;3,571501983;2,659366544;1,685865422
389,282;3,54350581;2,802020186;1,789808119
389,869;3,660343472;2,965262912;1,63198237
390,456;3,753361749;3,194118884;1,70204986
391,043;3,822553333;2,876326485;1,640077376
391,630;3,853565938;3,171925083;2,022199882
392,216;3,392537216;3,598310299;2,087895159
392,803;3,628011976;3,51702049;2,15049328
393,390;3,799960533;3,636274504;2,328185948
393,976;4,219208424;3,27109532;2,317437915
394,563;4,432264558;3,436027721;2,541456547
395,149;4,604820134;3,322613262;2,715347355
395,736;4,648673543;3,238770492;2,686954702
396,322;4,710397143;3,595890485;3,015735247
396,909;4,738522772;3,761380393;3,014542747
397,495;4,924116114;4,08816208;3,050910897
398,082;5,018756333;4,359124623;2,857100394
398,668;5,129553215;4,154877927;2,90440475
399,254;5,057023375;4,488165822;2,965045882
399,841;5,038510745;4,574469062;2,78544362
400,427;5,052378933;4,900098568;2,535870321
401,013;5,050883798;5,047872258;2,554619794
401,599;5,108971071;5,323417471;2,44625291
402,185;5,252064811;5,217103814;2,514382177
402,771;5,445172263;5,290821538;2,645988733
403,357;5,367311626;5,38924935;2,869912015
403,943;5,326716543;5,729225628;2,861927234
404,529;5,394103593;5,705020699;3,007228188
405,115;5,448582912;5,96988306;3,093675752
405,701;5,84570593;5,978577199;3,444045421
406,287;5,861149845;6,17056092;3,416770607
406,873;5,755219857;6,051664108;3,445211711
407,459;5,915959196;6,298323282;3,456054004
408,044;6,050705683;6,31359403;3,470596458
408,630;6,018093568;6,370400054;3,479728054
409,216;5,986820509;6,434769411;3,602907782
409,802;6,122216706;6,61038693;3,48929426
410,387;6,098436948;6,56808382;3,534677233
410,973;5,837572944;6,818388132;3,563923722
411,558;5,906129701;6,660515054;3,702645862
412,144;6,127139184;6,813415072;3,878046533
412,729;6,049808855;6,891474548;3,908235871
413,315;5,942612983;6,891391332;3,919068268
413,900;6,035738389;6,974939035;4,005181523
414,485;6,118708611;7,111339488;4,038326404
415,071;6,255035606;7,262095763;4,256563737
415,656;6,135474628;7,369356128;4,258119551
416,241;6,118624757;7,250477562;4,205146247
416,827;6,108209031;7,604253974;4,127040449
417,412;6,060136717;7,566142775;4,034610027
417,997;6,074102184;7,581120761;3,911371816
418,582;6,283117062;7,62401752;3,970544764
419,167;6,231796367;7,701046996;3,775700066
419,752;6,402494865;7,627143526;3,804105882
420,337;6,179289958;7,477643063;3,804096369
420,922;6,270128242;7,39110785;3,85936565
421,507;6,250391708;7,486362123;3,829850286
422,092;6,330514657;7,250168994;4,131835642
422,677;6,293302964;7,313823742;4,117071175
423,261;6,269282232;7,162465057;4,260905282
423,846;6,004444745;7,176924018;4,245084964
424,431;6,1339037;7,077461589;4,296996876
425,016;6,062314271;6,908029278;4,286321463
425,600;6,106794099;7,103567796;4,233592755
426,185;6,21581863;7,235367033;4,103570371
426,770;6,084799019;7,172928025;4,202570905
427,354;6,116230926;7,266356662;4,18846148
427,939;6,106748009;7,181113793;4,291901775
428,523;6,198827247;7,489249408;4,380522021
429,108;6,202907698;7,463008856;4,337492674
429,692;6,050792108;7,5080427;4,374223309
430,276;5,970581492;7,693474548;4,386378021
430,861;5,948639587;7,472905463;4,357496914
431,445;5,87050026;7,180295293;4,503734466
432,029;5,900402408;7,220888693;4,433847945
432,613;5,904735426;7,182988165;4,384179323
433,198;5,862078049;7,359061542;4,311131733
433,782;5,890536211;7,225623508;4,256229834
434,366;5,840501982;7,237166556;4,284672144
434,950;5,874057408;7,260381512;4,302988002
435,534;5,804119627;7,353359606;4,248876978
436,118;5,845959285;7,366264528;4,281325966
436,702;5,967064869;7,549045355;4,256200699
437,286;6,031300314;7,532643594;4,161013245
437,870;5,907187655;7,505363719;3,981998677
438,454;5,881024046;7,346800354;3,863798845
439,038;5,739720269;7,341543509;3,802338353
439,621;5,811962834;7,320293835;3,866741867
440,205;5,865427048;7,305127884;3,87998588
440,789;5,875383173;7,232233349;3,787863556
441,372;5,826279128;7,182702984;3,827055439
441,956;5,748460166;7,100140584;3,89568035
442,540;5,81170011;7,1492816;3,913663183
443,123;5,873568039;7,241804998;4,059043455
443,707;5,883297174;7,337148708;4,207397575
444,290;5,890734268;7,305065387;4,262993383
444,874;5,817994303;7,204642947;4,158759211
445,457;5,744004575;7,180759391;4,094310234
446,040;5,769148522;7,17251073;4,163428769
446,624;5,806591837;7,198759376;4,085017655
447,207;5,857963496;7,174404737;3,892862325
447,790;5,831074721;7,019468075;3,952964064
448,374;5,866494517;6,991147217;3,857162141
448,957;5,908775653;6,89090439;3,741605378
449,540;5,92953305;6,937943169;3,68852937
450,123;5,90178761;6,919121135;3,614022024
450,706;5,857205348;6,888464768;3,659500407
451,289;5,867028372;6,897882785;3,645431414
451,872;5,838038199;6,866019954;3,731578626
452,455;5,818844372;6,946254263;3,813124994
453,038;5,793552992;6,967291464;3,754799073
453,621;5,638500235;6,873284454;3,754053924
454,204;5,581135811;6,82317619;3,809940824
454,787;5,490811302;6,661317309;3,826005881
455,369;5,613613187;6,770276516;3,909411745
455,952;5,601888997;6,691342554;3,845473956
456,535;5,590800623;6,62613323;3,826657963
457,117;5,547754421;6,576272098;3,774008677
457,700;5,446676512;6,450563573;3,68137037
458,283;5,435045532;6,457043785;3,689809846
458,865;5,497158115;6,443900653;3,593044234
459,448;5,570038901;6,37489159;3,576462752
460,030;5,599333381;6,254021312;3,513688528
460,613;5,514870316;6,069327754;3,500883799
461,195;5,530275253;6,060917532;3,532650108
461,777;5,514749041;5,983495068;3,535450669
462,360;5,460190389;5,967259509;3,473736251
462,942;5,520616366;5,951067736;3,555559086
463,524;5,550486368;5,858703557;3,523833923
464,107;5,526579731;5,817903574;3,593457789
464,689;5,493867401;5,830942926;3,590464193
465,271;5,521599202;5,827799477;3,654049717
465,853;5,580523284;5,913824492;3,629982116
466,435;5,608967083;5,890513661;3,629178081
467,017;5,549326882;5,804373202;3,678795434
467,599;5,576742423;5,682395291;3,673598
468,181;5,501229529;5,694912898;3,608830514
468,763;5,446798984;5,650522398;3,63534214
469,345;5,447707938;5,572373275;3,608009048
469,927;5,440506541;5,503853095;3,569311238
470,508;5,47388097;5,5550313;3,46834123
471,090;5,426703726;5,520832096;3,44785998
471,672;5,431801198;5,534182236;3,378703187
472,254;5,418659705;5,496799775;3,25817848
472,835;5,432014039;5,498060322;3,162553294
473,417;5,437809256;5,392684102;3,176623362
473,998;5,39841995;5,417113384;3,091634549
474,580;5,397286505;5,379811678;3,046078645
475,161;5,328906725;5,411478394;2,991469525
475,743;5,352850051;5,305535563;2,988733397
476,324;5,314301691;5,21286321;2,918093787
476,906;5,25839504;5,129039316;2,894619129
477,487;5,26481475;5,143580181;2,861341202
478,068;5,215661908;5,098973625;2,915553692
478,650;5,108101233;5,048145262;2,894696122
479,231;5,122813307;4,925387393;2,923777444
479,812;5,063787917;4,882303086;2,891593743
480,393;5,075013392;4,764385153;2,873190699
480,974;4,885607959;4,77276895;2,803031879
481,555;4,870584038;4,697867331;2,780031078
482,136;4,858888046;4,686610451;2,709174865
482,717;4,834108364;4,629989187;2,741131429
483,298;4,844642768;4,653338684;2,653942569
483,879;4,949225521;4,579375657;2,614212563
484,460;4,866860509;4,600099722;2,52844434
485,041;4,873484457;4,54719708;2,501669711
485,622;4,801028885;4,540978318;2,495290039
486,203;4,86875389;4,522276973;2,543973263
486,783;4,800550408;4,483703064;2,502917598
487,364;4,771917167;4,356633889;2,441658658
487,945;4,715301751;4,307518063;2,366516046
488,525;4,699717097;4,144471068;2,337236597
489,106;4,645333862;4,198944941;2,290245848
489,686;4,678316496;4,083414315;2,288825138
490,267;4,617120978;4,11771692;2,282261688
490,847;4,615083014;3,960645072;2,232664682
491,428;4,524106942;3,869710121;2,17713464
492,008;4,538239335;3,833714626;2,191910592
492,589;4,505647526;3,793501097;2,239135934
493,169;4,527637353;3,732754403;2,175537615
493,749;4,423729385;3,76853183;2,145671049
494,329;4,448378432;3,641288599;2,133057852
494,910;4,414577684;3,614449595;2,053727021
495,490;4,400561555;3,502785953;2,00268845
496,070;4,436115983;3,552944458;1,981808779
496,650;4,423574312;3,459910958;2,001594041
497,230;4,343219649;3,43272041;1,928242032
497,810;4,28328486;3,442893426;1,893707599
498,390;4,237017;3,425805545;1,957577507
498,970;4,265227307;3,322314556;1,967858924
499,550;4,128236675;3,29687719;1,907234205
500,130;4,059868555;3,215743593;1,901368403
500,709;4,053704285;3,182310764;1,90521276
501,289;3,941259633;3,110659065;1,914286525
501,869;3,92057323;3,136886477;1,864857284
502,449;3,978306522;3,056239586;1,88661524
503,028;3,959704746;3,002184254;1,884790517
503,608;3,943254841;2,900213925;1,814973835
504,188;3,904361591;2,916695277;1,738643839
504,767;3,98670346;2,912994271;1,766740284
505,347;4,005225178;2,913153541;1,710928017
505,926;4,048495908;2,874261866;1,716581101
506,505;4,078142861;2,895388495;1,680438248
507,085;4,075363623;2,792762512;1,710609649
507,664;4,04386785;2,754722045;1,629056221
508,243;4,053098005;2,65325633;1,567246684
508,823;4,046633457;2,692739589;1,528024426
509,402;4,027884647;2,668881938;1,639655826
509,981;3,981962389;2,634348197;1,594367295
510,560;3,973021804;2,624582344;1,630241672
511,139;3,861978212;2,523786508;1,524705303
511,719;3,813449093;2,458466135;1,432670831
512,298;3,842944694;2,458469849;1,320560753
512,877;3,874358436;2,405606155;1,326247017
513,456;3,841880139;2,398982355;1,325082411
514,034;3,828518209;2,331584265;1,342766181
514,613;3,88598399;2,287146938;1,245052199
515,192;3,87673573;2,177892966;1,210269875
515,771;3,865433265;2,205068027;1,176802766
516,350;3,957973289;2,231857362;1,225724308
516,928;3,953168187;2,194816876;1,257539408
517,507;3,970699269;2,215562415;1,233804881
518,086;3,9376466;2,264080825;1,242444993
518,664;3,935000458;2,275213156;1,235083732
519,243;3,834210191;2,270841985;1,269086408
519,821;3,806933959;2,189476465;1,24217016
520,400;3,822261224;2,253190861;1,195152238
