Filename-->;PET_CLARO_1.RFL8;PET_CLARO_2RFL8.RFL8
Mode/Unit-->;;
Int.time[ms]-->;1,049999952;1,049999952
NrOfAverages-->;20;20
Smoothing-->;4;4
Wavelength [nm];;
172,206;28,2123902;-4,711374778
172,805;28,7992784;2,411684822
173,404;17,06389402;0,332777073
174,003;10,31185944;-4,681404328
174,602;8,558465642;-7,374428964
175,201;6,216093821;-4,083685385
175,800;-2,718966921;-3,781601426
176,398;-3,134294888;-2,137565652
176,997;-18,97863985;0
177,596;-17,29200434;7,01231615
178,195;-21,7253228;10,81133986
178,793;-10,58383578;10,72636852
179,392;-17,04834466;18,99210193
179,991;-8,746439799;15,04890933
180,589;-9,266876732;14,63600055
181,188;-2,061616532;15,27558991
181,786;-4,930703044;16,59449107
182,385;12,61439359;14,61552184
182,983;8,683290812;12,13185104
183,581;16,36443025;5,32019763
184,180;17,19179583;-0,451004371
184,778;24,65554885;-8,492307738
185,377;18,33035406;0,529316033
185,975;24,87832646;3,67194783
186,573;28,28021959;-1,944157452
187,171;32,63158068;-4,696424452
187,770;28,65771763;-9,440337931
188,368;34,95971574;-6,482004932
188,966;30,4730488;-10,63538558
189,564;32,10146589;4,823091876
190,162;35,38493753;14,72482928
190,760;37,85185129;20,3536757
191,358;36,5697032;22,93148542
191,956;38,02592247;29,58866177
192,554;35,87452614;33,58502987
193,152;41,75872815;36,86342412
193,750;40,49642113;36,07918325
194,348;49,89037717;39,38093586
194,946;39,83259233;40,0817664
195,543;35,91283114;39,38339194
196,141;23,68485455;36,78010492
196,739;29,38659085;39,54829356
197,337;21,66165821;36,69052138
197,934;11,51256691;35,1282494
198,532;-3,137697747;33,56373205
199,130;-3,594230148;38,3294294
199,727;-9,236507773;47,1445673
200,325;1,912568429;40,68882023
200,922;4,971494377;38,40909125
201,520;6,945836649;39,70400089
202,117;3,873517631;34,36865509
202,715;10,45381004;33,1088451
203,312;17,95632114;38,21208206
203,909;27,13675272;40,1021094
204,507;20,00431963;41,11758212
205,104;22,93486366;33,10035941
205,701;8,404447595;37,8699374
206,298;8,874132614;34,89667651
206,896;23,03557864;30,84239109
207,493;19,2060376;33,08364594
208,090;18,09264149;36,07366558
208,687;26,60850499;36,92517631
209,284;9,671531337;37,16244217
209,881;16,49261819;33,18300215
210,478;12,76065895;36,90835765
211,075;25,56231069;37,96686943
211,672;17,36577173;38,58843313
212,269;17,25178194;37,69920451
212,866;9,512194269;37,6799892
213,463;11,42930159;36,91034136
214,060;11,3381007;39,13043515
214,657;36,1623599;36,54970642
215,253;36,57104129;38,04239812
215,850;39,75512218;36,22195572
216,447;26,50571643;37,03507925
217,044;36,2302473;39,26548572
217,640;31,89731504;46,51283874
218,237;47,87991429;47,06427095
218,833;44,81272758;47,13388395
219,430;41,71692087;41,52707428
220,026;30,91543947;46,82228207
220,623;29,8562487;45,53380847
221,219;25,80421922;51,77785697
221,816;47,56447059;45,54838691
222,412;43,92481677;43,23468971
223,009;37,98657865;43,34755841
223,605;33,48396893;45,00358025
224,201;27,23675541;48,7470069
224,798;23,27146635;55,16114033
225,394;27,21670045;52,71973276
225,990;28,34051746;55,88890731
226,586;33,38385874;54,28758767
227,182;25,11387316;61,34589979
227,778;19,91424608;62,7069251
228,374;27,21088438;59,46544242
228,971;29,39717229;58,35294258
229,567;31,9852964;58,57554954
230,163;31,02229496;48,46542456
230,758;16,45153074;54,48949572
231,354;10,55081493;57,27477725
231,950;1,335113512;66,40217528
232,546;-5,59236649;55,5991692
233,142;-0,254258818;51,33516313
233,738;-9,060997211;49,96670465
234,334;-4,862155033;52,13400865
234,929;-1,963784673;44,85568083
235,525;2,132463824;47,82403962
236,121;11,1534795;48,31410789
236,716;16,34805638;49,37034225
237,312;20,17829996;39,35434242
237,907;26,91328961;36,78373221
238,503;28,79224964;30,29859707
239,099;39,30276031;33,09239599
239,694;33,17888795;24,52830007
240,289;22,45969341;30,08679052
240,885;20,51908954;33,64485779
241,480;22,07151752;34,76701909
242,076;13,6343519;27,70151488
242,671;8,991884381;30,93902233
243,266;5,820105946;31,13073192
