Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8;FLOR_4.RFL8
Mode/Unit-->;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20
Smoothing-->;4;4;4;4
Wavelength [nm];;;;
172,206;20,36234438;-8,743600283;19,5254057;31,23549087
172,805;31,03242909;5,266290195;18,10134902;27,72737465
173,404;26,43597097;7,391713504;16,02373783;26,88427181
174,003;26,04772495;5,955485305;16,15166299;30,24887539
174,602;24,40825705;-1,041468705;18,38695533;33,86228229
175,201;21,66474584;1,63398737;23,61640348;33,86186839
175,800;18,3767796;5,324459137;19,7269307;41,63527971
176,398;22,39665146;10,23896757;19,00047798;40,93884878
176,997;24,12537519;15,40288104;15,98951566;36,04193735
177,596;22,84666878;18,14294407;18,03039145;33,67913376
178,195;19,4234841;19,63477319;20,9554834;39,18101409
178,793;22,62829349;23,90741649;26,83154572;38,12412466
179,392;25,31895695;29,64763186;33,18233325;37,34023798
179,991;27,2661121;36,18507169;35,34697931;33,96571797
180,589;29,13743171;38,05200119;36,47346618;36,71815256
181,188;38,76199594;38,80254134;43,1721415;33,7439172
181,786;34,42985609;38,17553587;39,91955158;32,27675038
182,385;33,76056465;34,70422593;43,46414943;34,33250711
182,983;32,99197441;36,21644072;43,43891338;34,33886376
183,581;29,40372022;31,57822759;41,1856507;30,96724051
184,180;28,50006876;26,89052244;29,82069729;31,33060734
184,778;24,10901381;21,90076837;27,56532716;29,82791481
185,377;22,59023983;24,10436771;22,49488712;32,29510738
185,975;18,98477171;19,47788302;15,25860654;33,02043442
186,573;11,07099898;17,74969954;9,260614632;36,42020645
187,171;17,63396165;20,95888352;13,40622416;34,98738235
187,770;12,19204055;17,34049247;9,401408473;43,22182743
188,368;18,23311168;21,79658536;10,72199109;45,01244702
188,966;19,56076053;22,24011552;15,00080109;49,22188279
189,564;17,82945729;21,93944663;20,63177072;43,46101305
190,162;22,61264948;25,29971063;20,20649067;52,21239318
190,760;25,79068469;23,57676867;25,18877325;47,61362048
191,358;26,79089136;23,63008997;25,63598091;46,42304918
191,956;22,0915572;23,53352834;25,81828433;42,02878362
192,554;19,73500726;21,42259423;24,52774392;45,63163711
193,152;26,83162921;25,43544482;23,88912662;37,19102884
193,750;21,33891258;18,82845224;26,74973033;32,56422122
194,348;27,39705761;19,1911758;19,04524295;22,43845613
194,946;31,16300542;25,90473157;22,34599063;31,49367006
195,543;27,05513378;24,16639002;16,14420011;19,62730884
196,141;23,41920426;22,13895473;13,4934633;21,67078726
196,739;25,09839091;28,0322006;20,92684181;26,18769993
197,337;33,84532997;27,8263959;17,00905017;25,64286782
197,934;29,70022122;28,97853505;22,26594321;20,69199472
198,532;27,60546913;31,67019611;24,73072591;28,35884353
199,130;33,06052188;29,3129429;25,20480534;29,65592581
199,727;24,88414219;29,76022463;22,77992094;32,81853206
200,325;18,87996835;20,11529764;26,9537676;29,01836585
200,922;17,48645572;21,1267592;29,97212976;35,95135377
201,520;26,6778513;19,92449564;28,31340915;32,09459443
202,117;25,76411042;15,20719944;28,98066034;34,38999566
202,715;21,53220048;19,88676606;35,28100078;31,89116836
203,312;26,45328481;23,32179834;31,36606744;31,39754409
203,909;27,71961128;25,46583894;27,41116876;26,36517507
204,507;24,28039286;27,80223546;24,98890282;25,53632202
205,104;30,94774208;25,66873343;27,16391759;28,76952149
205,701;31,50250504;28,38063512;22,80000011;36,04444641
206,298;33,55659852;34,02545369;23,67460177;28,15831551
206,896;23,11713395;31,30687384;19,95727743;34,68111127
207,493;22,51198454;35,03355747;20,96605203;32,49588687
208,090;23,70100324;28,23609691;14,21219839;36,38565158
208,687;24,36895411;26,94031517;18,64175009;44,1810979
209,284;24,47683744;14,31930332;13,10123629;46,80103645
209,881;21,97802026;18,44009366;11,88845363;51,81017407
210,478;8,925168062;24,16326637;19,60322795;50,5548055
211,075;17,63576327;28,03071675;19,90049766;49,13364016
211,672;13,31871899;12,57878741;14,41963631;48,69609746
212,269;23,38853533;31,77070159;22,37183666;42,81311052
212,866;32,76584146;32,79374902;14,73454325;37,14717748
213,463;34,50586327;37,59272844;26,94672068;39,48087419
214,060;25,2575;33,22884193;21,3556018;37,89524864
214,657;26,15590386;37,50477719;33,33873087;35,37888864
215,253;20,65946269;30,51415903;33,69416149;34,59368912
215,850;21,25546395;26,83750395;30,30924979;35,54155064
216,447;14,71690299;14,86261506;29,4415478;34,25167595
217,044;26,85942639;23,89195399;37,17968526;35,45581738
217,640;23,24414669;16,46228175;33,44900447;37,47736698
218,237;17,60893131;18,4551672;31,80257395;38,28325981
218,833;16,44870233;13,83311916;22,83064061;36,56493235
219,430;22,73563787;10,67266409;25,17871519;30,5003995
220,026;24,37332169;0,895255557;24,94570179;31,16661295
220,623;38,89138415;4,465888676;20,46928269;21,0867549
221,219;41,35270328;1,793009656;12,90479977;17,26606867
221,816;43,69066806;5,718916307;11,2921437;12,11485556
222,412;40,6687394;-5,339554137;8,380573528;17,05224553
223,009;31,59742564;-15,30134557;12,7958347;19,01230573
223,605;27,57968801;-24,14910826;10,40205192;19,2643278
224,201;29,67157393;-19,67723737;12,54292727;14,11283859
224,798;21,30548251;-17,62402058;7,39458827;18,86406563
225,394;12,38006881;-19,34385719;12,54303209;19,0989373
225,990;2,290077936;-25,6793872;15,41013139;28,61881765
226,586;-4,003430871;-25,96511293;25,623549;30,08990618
227,182;-5,406808892;-17,44216078;28,47788273;31,12631158
227,778;-6,230283789;-9,516299607;29,5169435;30,42537747
228,374;2,996727454;-4,558044134;25,66744059;25,91410294
228,971;6,23773274;7,00109049;26,59250381;25,85087938
229,567;2,19780218;9,340659265;30,07038374;35,08863277
230,163;0,35474227;11,23973126;33,64257266;32,41850379
230,758;6,433037431;16,96281699;19,558622;30,92413872
231,354;7,982723055;24,65205634;16,99704135;25,59171795
231,950;9,548152684;27,91886464;12,48601805;23,9653259
232,546;13,1173942;38,29634995;9,803646348;26,5638159
233,142;14,15848802;37,71355892;4,93791084;23,52081863
233,738;16,78152954;40,59269283;1,929905147;23,06623433
234,334;15,99186252;40,71210554;3,838320899;24,90991744
234,929;28,54570086;41,58037037;3,435484177;25,87096936
235,525;34,15841426;48,29207678;-4,293673608;30,67846455
236,121;27,18343494;37,90815162;6,222843176;35,84729863
236,716;31,04416575;33,06101828;11,59224144;46,78995555
237,312;32,01743148;31,09459208;9,468306551;43,58933439
237,907;23,17708467;14,89583574;9,159136328;43,05406939
238,503;9,34343618;0,252526213;10,86924113;36,64827957
239,099;0,718594554;-8,105779625;12,95943355;39,31391183
239,694;11,69196308;7,110736975;12,3232049;33,8327968
240,289;-6,0874705;4,609929708;17,21954892;29,39984816
240,885;-10,5111974;-4,738654931;25,85858512;27,27272806
241,480;2,220349182;12,33839291;23,01277883;20,79354463
242,076;2,49796423;8,145534723;23,54939843;13,13382107
242,671;4,10052926;17,06349243;24,01729532;18,90723384
243,266;19,06976817;23,32558319;26,47803972;13,9076571
243,861;23,00645411;22,44430687;31,9019262;21,98129289
244,457;30,40016333;31,31890566;30,17786256;16,02234414
245,052;27,74999979;17,06249872;26,89814761;24,24382569
245,647;33,85554307;14,18107818;19,32674473;22,94422857
246,242;46,07515267;18,88648417;11,93978815;21,22818923
246,837;31,07774037;11,80383902;13,68663566;23,50230456
247,432;26,99046563;7,296517614;9,521419661;30,40495381
248,027;22,08802287;9,007164473;8,171072498;27,05146012
248,622;13,33333309;4,946922009;4,755340845;36,50930331
249,217;21,94178471;12,76205897;0,319435034;32,54875408
249,812;23,50332458;1,290062395;2,641445296;43,20040961
250,407;25,7513123;4,357625765;7,6601223;33,60154571
251,002;25,55033218;6,359361462;7,147394842;29,76492808
