Filename-->;FLOR_ROSA_1.RFL8;FLOR_ROSA_2.RFL8;FLOR_ROSA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;12,72727261;14,39868329;16,79717936
172,805;7,516891957;22,06477587;16,62108851
173,404;5,509451888;20,39703527;15,82753961
174,003;7,778205558;18,4769035;17,5629008
174,602;12,05217473;17,52101506;22,24025899
175,201;4,249624115;23,15343063;32,24785172
175,800;10,2128399;23,01874561;33,20754519
176,398;13,28461676;26,14413625;33,63123162
176,997;17,42537227;30,13795569;37,23047355
177,596;19,26131035;31,27842058;34,71706251
178,195;14,47148508;22,16721664;34,23067743
178,793;14,26661654;23,05624707;35,22669098
179,392;10,0244488;19,23159877;29,76252106
179,991;1,315248587;29,39790202;26,90677828
180,589;3,099885132;27,86370964;17,11335082
181,188;-5,154639149;25,36035095;18,30369387
181,786;-2,285318829;21,04380624;13,78068031
182,385;-9,950000085;14,78889091;7,733452156
182,983;-16,46116029;-12,41726326;5,066665495
183,581;-2,0024636;1,035397544;11,58637016
184,180;-11,19781324;-5,385655967;6,269270003
184,778;-6,928764642;9,215407336;8,472464571
185,377;-14,37674355;-8,81908661;1,780415777
185,975;-6,792804507;1,145988329;8,467927083
186,573;-11,07078228;-0,892133289;-4,915763208
187,171;-24,46351853;2,375170213;-14,20197015
187,770;-8,556760588;9,933318299;-1,06485927
188,368;-22,10357806;18,47752223;-5,386666571
188,966;-17,67764342;16,78372471;-13,99680743
189,564;-13,63193768;20,73354925;-17,24307079
190,162;-14,289295;9,097112282;-22,49357213
190,760;-12,15574586;16,15212435;-23,99660792
191,358;-12,43295995;10,20062534;-30,28744438
191,956;-14,19126231;-5,286342817;-38,21299079
192,554;-11,60166955;-2,255279622;-30,87689278
193,152;-32,24637392;-16,13285766;-61,58717861
193,750;-13,65461955;-10,00581866;-41,18565029
194,348;-19,34144993;-9,801252072;-35,24854688
