Filename-->;PETALOS_1.RFL8;PETALOS_2.RFL8;PETALOS_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;17,14053585;-31,92854114;17,3364487
172,805;23,04536574;-20,05030672;14,91424174
173,404;15,54821383;-19,66527332;17,07100596
174,003;19,28766119;-13,35958072;19,40039839
174,602;18,7262025;-12,54523505;25,19167624
175,201;18,00262839;-4,701425583;21,75545651
175,800;17,02247066;-9,787003133;30,57754736
176,398;21,80405013;-8,103360131;22,58624791
176,997;21,01299137;-6,871850223;30,60639312
177,596;31,77906844;7,534245129;33,08743558
178,195;26,42682198;16,65470226;40,95733801
178,793;35,18556113;25,60794986;42,49840538
179,392;30,31596863;27,11337792;44,71273828
179,991;34,33438841;25,99300259;36,74926534
180,589;31,791812;16,65868809;31,13294921
181,188;35,30801672;10,45891124;19,76720851
181,786;35,95200538;11,1202811;27,9138825
182,385;42,48868601;14,36989208;22,92425356
182,983;32,73966112;12,94425649;30,98916754
183,581;25,74039536;-0,292169574;23,29999915
184,180;27,2130163;-5,319999902;20,78137997
184,778;31,18046929;-2,791429245;20,54181304
185,377;35,63353444;-0,226943998;24,44134007
185,975;37,16433922;3,247261091;40,0000016
186,573;34,39443398;12,7989009;46,33770079
187,171;36,10573931;23,24195494;40,87891467
187,770;32,69511987;18,59634454;56,05633733
188,368;40,20547914;10,86299074;40,25438192
188,966;47,47887875;14,75750442;39,58624737
189,564;52,45666835;8,375026814;41,51096665
190,162;49,24330607;0,915674198;33,80423575
190,760;43,43857407;3,994113967;31,02755249
191,358;44,02769731;7,605633311;38,64746068
191,956;45,65881968;7,589286278;37,25169164
192,554;36,95391941;0,205761417;36,50759767
193,152;36,25357183;0,601410225;26,63201635
193,750;31,46374784;12,86067546;26,01188216
194,348;29,85637329;11,72889592;24,68671542
194,946;22,90995484;12,52836015;24,76809036
195,543;26,75963935;15,8764552;31,75113222
