Filename-->;HOJA_1.RFL8;HOJA_2.RFL8;HOJA_3.RFL8;HOJA_4.RFL8;HOJA_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
172,206;36,78239912;37,30905063;44,80651661;12,94326233;58,97727353
172,805;25,59763371;31,36550471;47,69367249;7,067307466;52,07118653
173,404;24,53159936;20,32342696;39,29545993;3,960838387;54,8125324
174,003;21,37901989;13,28330226;39,74885905;4,506517251;54,42834287
174,602;16,40811282;21,45833391;37,15012747;-2,296936702;53,61941234
175,201;7,863873094;15,79221997;40,00913208;-1,410216219;59,3980492
175,800;10,21573601;35,54955893;35,09918548;5,039009014;52,48129181
176,398;5,913659879;21,94082096;42,9857808;-0,033625195;51,24908126
176,997;8,962818431;30,18173399;43,58177941;-15,36012754;47,72547445
177,596;-0,200312356;21,694318;37,878391;-10,90716519;40,08547178
178,195;6,87116683;16,6151467;41,55339672;-4,79734977;51,87605974
178,793;13,49738864;24,11210396;41,99007087;1,135957085;49,97747959
179,392;15,1349796;34,72320552;41,00702893;0,881057397;51,11592696
179,991;18,78005635;23,10151903;41,58028125;7,41656162;44,26268011
180,589;28,03483857;32,36906278;45,46206088;4,255315849;36,60332426
181,188;18,48739416;25,26280156;45,43838795;1,83644187;35,32312542
181,786;26,79426056;45,88377718;33,85936793;-3,466028044;23,1334823
182,385;14,35825203;37,18390845;33,96795624;-7,618741569;33,65436339
182,983;27,27272768;38,79022081;36,17933641;-8,782131584;43,54880976
183,581;20,16512389;44,23996235;31,23209063;-0,521920893;31,97569744
184,180;21,10022569;47,40914498;27,09708836;3,357245903;27,50929463
184,778;23,17773987;39,55350665;34,7037196;8,133970853;27,5263785
185,377;35,49295839;49,22077994;33,2519393;13,76091505;29,95219359
185,975;30,16567002;34,15200142;33,2134838;22,07711338;27,09890101
186,573;36,39136684;34,84047783;36,96911279;21,32713071;25,62960355
187,171;19,05924079;21,13022095;38,70825237;21,92525508;29,06178561
187,770;25,85388141;24,43514652;37,69858141;26,48537341;23,74392117
188,368;21,72861238;29,78022015;38,42311083;32,47844255;24,82772927
188,966;26,97183117;31,41753667;36,76991114;26,44370163;19,73570321
189,564;11,78517118;15,99199268;41,29678978;9,069109078;20,16787034
190,162;18,25934759;19,16596506;40,51231492;12,75557539;9,155093597
190,760;6,534560297;11,57534236;40,9518101;8,355321215;22,55471084
191,358;7,654321459;24,82849573;28,50182729;7,498907097;36,87778137
191,956;3,456656477;17,76942491;25,98160172;14,85516188;43,08176066
192,554;25,68854604;25,58848112;27,95572349;16,77404439;45,09887114
193,152;19,36671531;19,45219341;28,0614571;21,48316533;45,08229432
193,750;20,92151212;14,72731753;24,94441099;25,3045181;45,94067259
194,348;6,637806087;14,27868013;29,49978541;24,52793511;62,91979253
194,946;30,89579935;29,18075376;41,39620279;33,03677138;61,27023201
195,543;15,86467997;34,27673048;36,53718085;25,03271723;68,1801075
196,141;25,67833978;43,3956897;36,30502571;27,89200627;64,72602751
196,739;27,31573588;31,73741485;51,57770095;26,81204457;64,79763697
197,337;26,76233288;39,27188425;48,16889327;8,846153582;71,48323264
197,934;8,630664158;41,14999965;50,03540187;14,6754855;73,31942874
198,532;12,86158204;45,91783622;45,27077563;9,722556296;74,42891946
199,130;10,2009255;44,75308613;56,32975848;-3,345249976;68,7218998
199,727;23,58198077;46,90604899;50,79633282;-10,25494321;61,54335351
200,325;13,60593443;37,9652596;31,52360051;0,178071926;67,03662583
200,922;18,22985459;37,53228723;30,61415981;0,86342262;59,30526419
201,520;9,528031143;33,10258017;36,24389395;3,065303274;67,10801343
202,117;16,09514386;39,74486712;30,52294483;1,424978328;56,98801144
202,715;19,05112231;35,11839695;29,88047853;11,49602961;53,61940969
203,312;28,48302689;35,49083118;27,94345138;1,41609691;49,24766087
203,909;29,90134521;32,30150448;38,3043677;8,268398098;47,7675133
204,507;36,02372858;36,74496599;25,24891474;10,03285274;51,70876641
205,104;28,79038698;32,52350971;25,37949322;13,36743716;49,15055733
205,701;32,2758885;42,44562097;30,72271744;2,439624201;44,23436582
206,298;27,1215335;34,68149591;30,9288243;3,080447743;47,83077934
206,896;33,68442042;37,29954557;34,16779581;7,646891914;41,21043473
207,493;24,07912723;40,4644608;46,69983138;18,91661904;42,38595066
208,090;27,5025541;48,01340265;52,3408006;22,24662785;37,11026641
208,687;15,65796905;49,98676966;49,88458618;15,12903439;43,86005781
209,284;24,44953063;50,80645168;40,82352625;14,28015604;47,32189061
209,881;12,17391481;42,44524428;53,29287643;13,65099751;46,89887195
210,478;22,80511112;46,66481741;60,38291598;-1,268743248;40,43236674
211,075;18,58974403;36,77811396;60,99764485;10,17699323;31,64598022
211,672;23,79953077;46,74228938;55,51801972;-0,145242103;25,36615723
212,269;13,33675262;35,34457231;55,17101675;-18,45170953;36,89235799
212,866;10,91886802;38,1203809;48,66120908;-33,00434111;32,07826802
213,463;5,225598962;25,19777145;50,79440097;-23,50304261;32,5538587
214,060;26,53846239;29,79227049;60,27707725;-4,913678467;33,78891594
