Filename-->;ENVEZ_1.RFL8;ENVEZ_2.RFL8;ENVEZ_3.RFL8;ENVEZ_4.RFL8;ENVEZ_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
172,206;71,19838722;0,896213292;25,65765813;37,20930325;34,33085946
172,805;46,26931333;0,367743292;11,6687992;34,84304856;28,2858465
173,404;47,43326661;-9,22526799;7,098445567;38,25729411;25,72096757
174,003;50,70922134;0,392886988;9,728700164;36,33112109;20,39625076
174,602;56,48013797;-6,430867335;12,54916516;39,62120407;22,72029431
175,201;38,31306425;-3,981775465;16,25107395;32,92102888;26,60065961
175,800;52,87356244;-2,623705043;22,27987676;33,72872701;28,29699
176,398;56,99768886;1,58273434;18,09585023;29,6658535;29,31285464
176,997;54,87778653;-4,783784626;23,61134359;36,20661017;31,125081
177,596;46,95509169;5,334601532;26,10137535;30,56939563;20,80886184
178,195;59,72156625;5,843070296;33,94495413;32,71697612;27,77865053
178,793;56,93376662;16,60834905;45,3623438;28,32438041;30,38035723
179,392;48,9483739;10,33492612;41,23448471;32,71742682;38,84769639
179,991;51,06181159;21,01370653;40,27731799;27,35683734;42,95751668
180,589;57,44889644;8,174145242;39,82166848;38,96788753;41,38695387
181,188;46,45434359;10,2243308;35,39854281;37,57656963;37,18538932
181,786;41,30434796;1,106035381;36,40854077;37,36263785;39,39032874
182,385;36,3336471;7,171315983;30,2329603;30,47224673;41,01052165
182,983;46,99575806;1,232479354;32,65090135;34,21403999;51,5215475
183,581;44,41564148;6,475972739;29,43794357;30,67824537;47,33112529
184,180;43,38702794;6,248492657;23,29729571;31,64396852;45,82392614
184,778;46,85944713;7,129648604;28,82223975;23,8159459;34,95972738
185,377;44,06945313;-3,545510176;29,31162379;23,57632883;33,01358024
185,975;39,94373965;-4,891071112;33,50622564;18,5707118;26,17419838
186,573;46,09535642;-11,45072077;33,91831392;16,25081151;30,75995202
187,171;42,94142419;0,270425537;30,18780043;13,14648057;28,45194966
187,770;45,34351227;3,297932665;32,49271295;21,85861901;28,85940905
188,368;37,53451708;8,648254608;26,59861984;23,57944809;27,28043322
188,966;36,28251428;-7,170346857;25,28566867;23,62415997;31,27105546
189,564;39,45805395;3,243616764;23,94007254;19,43647629;27,05900833
190,162;42,99100468;-2,629052677;23,25850683;16,51831416;31,46458937
190,760;36,01924004;12,34998093;19,36752871;18,00823692;25,69507413
191,358;32,95762686;20,86044734;18,31136817;17,13104261;35,37893199
191,956;38,82118029;22,53238598;18,21229016;17,05383443;34,20914415
192,554;46,87835388;17,86411424;17,13648545;21,80897453;32,25752369
193,152;41,36114867;11,00167559;13,23456036;15,55314234;25,13386203
193,750;38,70056413;-1,457788223;19,99341286;14,34767542;24,99166306
194,348;34,24221548;7,905581871;17,92531115;9,454338454;21,15674541
194,946;32,22196168;2,232951721;15,7449577;16,76019498;27,92748572
195,543;35,18322493;4,453523814;19,61526253;18,24212166;27,08400019
196,141;44,79698167;1,119965719;24,7568521;23,33508125;25,66426049
196,739;40,20031293;-1,54681348;16,82372978;19,42867159;20,131327
197,337;41,1436009;11,70639454;20,49441707;25,77176501;22,27018388
197,934;41,10008797;7,48095182;26,30177981;24,76190493;20,14570882
198,532;48,95154035;10,98223163;26,96897554;27,51143422;26,57184505
199,130;49,77168791;26,04398359;25,87276026;23,87499729;26,20856335
199,727;53,93980265;24,86982248;34,97789427;31,53139005;34,60224469
200,325;56,83548753;27,79511166;36,57024989;29,16795636;39,4100584
200,922;56,71359884;26,96182663;38,71383646;34,82023104;43,58014531
201,520;52,87547896;22,62669643;34,68281131;33,29167284;44,74445414
202,117;56,75816303;13,97041685;36,95335517;36,88100382;43,8906972
202,715;51,89499147;9,702104426;32,50000165;35,99236055;46,62537452
203,312;45,19131096;8,036680257;30,42242139;38,58558664;47,6377984
203,909;38,82040302;12,19323208;27,12184078;32,94519564;49,01179186
204,507;54,17499712;-1,361091076;28,23550467;39,91474886;50,453603
205,104;62,1590229;6,485849677;23,77188734;45,35945551;44,48688077
205,701;62,57293574;-4,261131415;31,14429338;47,26655293;39,6273933
206,298;61,27991363;0,272893696;26,5251562;44,15851852;43,15114814
206,896;57,1203369;-14,51165435;32,51523678;44,85755494;50,14577281
207,493;59,69553295;-13,58257014;34,94936159;45,91626805;47,25293235
208,090;62,82463417;-18,99073577;31,24999915;47,55963286;45,59838587
208,687;68,67441825;-14,37820331;32,98152932;38,21882194;45,10813491
209,284;70,57137242;-5,846677486;40,83359433;42,59069194;41,10929743
209,881;55,87209225;7,753017224;35,87028545;40,53197012;36,53260586
210,478;56,07174842;5,177924011;37,4936418;27,57179082;33,51046913
211,075;56,89756009;15,24334154;33,56288557;29,115769;34,74394886
211,672;62,80737764;11,68059776;38,34441751;34,26280886;38,34154127
212,269;59,73496358;33,0257421;32,33185395;24,59196875;38,82155709
212,866;60,05985208;29,29186824;35,96352856;22,82370154;40,12987027
213,463;52,61881386;36,475772;39,60514937;21,25320542;40,3512048
214,060;61,36363389;33,05117306;46,04462604;27,86996438;48,44492811
