Filename-->;PETALO_ENVEZ_1.RFL8;PETALO_ENVEZ_2.RFL8;PETALO_ENVEZ_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;23,30226294;22,52631541;6,244503477
172,805;20,74785057;17,40729488;17,0847882
173,404;16,11333913;18,27821156;14,69640023
174,003;22,33358842;21,3488465;23,09865879
174,602;21,63920382;20,56902942;24,63592219
175,201;16,07785154;17,43411432;38,54307259
175,800;18,23587767;25,24624041;29,70642242
176,398;10,536564;20,3444823;23,15365522
176,997;6,572296073;18,41690992;21,16581647
177,596;8,721933473;9,815155872;29,09505307
178,195;15,7776772;15,49434383;27,32189475
178,793;16,25593395;6,800791812;29,93197116
179,392;7,02854585;0,176367034;19,98044973
179,991;8,119766419;2,431611186;20,03539073
180,589;16,11386721;-0,388659595;10,44893094
181,188;11,69154131;-0,300826991;14,06250008
181,786;20,1826477;3,871705208;13,38582614
182,385;31,49910621;7,680947145;17,56968974
182,983;21,71206015;8,839912113;3,884890974
183,581;11,54901461;-3,101998578;-2,078188827
184,180;13,67279578;-1,789171438;-3,102961029
184,778;26,40913512;1,201674389;4,074283803
185,377;19,26325534;-0,747282883;2,579979208
185,975;21,20948418;-3,019692829;10,5862852
186,573;27,89085239;-5,615904041;4,245810113
187,171;28,1905971;-11,50421269;13,9990975
187,770;17,5524464;-3,806391224;12,49734316
188,368;29,47295306;6,597700101;25,66174886
188,966;36,31840862;12,84964891;25,97678989
189,564;51,75038327;21,0305438;24,69854405
190,162;49,1606731;10,97501324;24,35138814
190,760;53,5465259;10,76746991;25,29135123
191,358;57,34057153;19,44444481;12,65513755
191,956;56,902984;26,92208084;16,39960391
192,554;52,51763291;24,8822975;16,59919048
193,152;52,1901803;6,601057629;14,59459447
193,750;48,40965323;6,060606317;14,27625733
194,348;45,33547949;6,280821246;18,63504443
194,946;34,20536217;10,71089898;20,08537406
195,543;38,83058454;21,19858941;13,30462343
