Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;-10,36645668;30,33838978;19,87605063
172,805;-24,00948334;22,08035884;3,87900337
173,404;-17,77713105;22,58172045;5,990068799
174,003;-6,359491171;25,50424516;8,46330826
174,602;-9,36615093;17,91079412;9,278127835
175,201;-16,28696017;9,786335469;-6,423933162
175,800;-7,232705454;20,71870851;6,281256025
176,398;-8,247174511;21,36947087;6,534357135
176,997;-3,513770176;25,6495668;9,010841017
177,596;-4,033970568;18,96379234;8,321775839
178,195;1,642588848;23,8012814;21,19193594
178,793;0,155642019;20,62435954;18,11722931
179,392;-6,882425153;19,14179799;19,84126931
179,991;2,366626491;26,57152598;23,59637322
180,589;2,863688578;27,68469671;30,87971396
181,188;-9,305699517;18,17862124;19,33195998
181,786;-5,558912097;15,6359586;27,81038284
182,385;-4,773511847;9,943383937;17,71960806
182,983;-16,32183926;10,51246104;17,59515988
183,581;-5,387277541;11,68717042;10,84582299
184,180;-6,745063471;12,52032574;16,70772587
184,778;-1,681379032;11,24230851;14,20863289
185,377;-7,639836451;6,60345385;9,658448814
185,975;0,890411119;5,071989858;10,5726877
186,573;17,60672484;9,860224539;22,64786369
187,171;14,63963985;7,443973733;17,32912747
187,770;26,92039827;13,3284236;34,35355179
188,368;29,47443158;10,6481477;31,33816218
188,966;19,19853462;9,952038465;31,45821719
189,564;17,14758647;10,17063659;23,08277763
190,162;11,09150465;11,68434631;21,06986878
190,760;7,287073331;8,997219589;21,8390816
191,358;-0,477897217;15,26017397;25,70802424
191,956;-8,44091381;14,85673842;22,66496087
192,554;2,049689546;22,99929203;27,56944571
193,152;-13,20410481;18,88150634;19,2434535
193,750;-5,057059836;20,89780771;22,57819923
194,348;0,544684269;20,39769077;18,3035722
194,946;-0,816696836;23,29088513;24,83061781
195,543;-7,838150543;19,93006979;18,78495644
