Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;17,17543106;21,35638347;-6,934769353
172,805;8,830769845;22,67972477;-10,64283869
173,404;23,62763202;25,93889786;-3,034009619
174,003;26,06957031;22,62606433;-2,917712035
174,602;28,26127371;25,98684224;4,265010481
175,201;23,79965903;24,89714838;5,288284652
175,800;28,01674868;21,89683442;20,59712166
176,398;18,09753334;26,08839511;20,45676993
176,997;24,28686227;32,70045334;14,92509654
177,596;15,89333312;29,15694773;18,99378162
178,195;19,49558189;27,47544091;24,01738208
178,793;4,887605814;22,45396709;12,11650421
179,392;2,513573337;23,37840062;15,75230844
179,991;-3,395833306;21,14529356;7,525920418
180,589;5,698172132;29,46112187;-0,973433347
181,188;4,184527401;25,02833343;-8,071945641
181,786;15,01501484;24,24986838;-12,1721908
182,385;5,156724278;22,13778956;-4,905825259
182,983;10,28909575;32,21917057;-5,511091826
183,581;4,756802317;32,73220665;-4,460804502
184,180;19,4606255;31,32179455;6,077347986
184,778;19,27249538;28,76348469;6,023136198
185,377;14,7377731;32,18633494;16,59159112
185,975;8,368794122;28,11145492;16,20619267
186,573;8,064123718;32,13337144;5,01627443
187,171;-4,105863911;33,49255622;10,38553728
187,770;10,96546651;35,09362168;9,19425591
188,368;16,41887578;24,57312551;10,58778456
188,966;23,54739981;27,73722772;10,05524722
189,564;10,45423393;30,44237501;6,691319426
190,162;3,938495124;36,17980813;-0,284521745
190,760;7,413709737;33,7267255;-5,272964343
191,358;8,993253757;35,1300124;1,47960988
191,956;5,956873224;33,27742922;-2,654079035
192,554;19,20042012;33,4493704;-11,00742713
193,152;-1,869897392;30,2171273;-4,26914968
193,750;-9,349724801;29,01813699;-10,17197208
194,348;-9,96036992;27,07800563;-9,900296406
194,946;-8,282037049;27,66518327;-15,03633195
195,543;-0,133689327;23,23987417;-11,61731208
