Filename-->;SEPALO_EXT_1.RFL8;SEPALO_EXT_2.RFL8;SEPALO_EXT_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;-13,23980468;28,76416622;32,45759846
172,805;-5,108193556;39,61522792;32,0884152
173,404;-9,395149373;42,20283529;31,75435099
174,003;-5,038451461;40,31327156;27,01023387
174,602;-2,367657786;45,16035072;30,84021415
175,201;-8,208470954;46,79983459;28,01592237
175,800;7,07712418;46,36192985;31,1814489
176,398;13,61968709;46,32984191;28,26838513
176,997;14,88500891;48,71872595;41,12348621
177,596;7,680031227;51,8567602;40,94003343
178,195;7,597062303;40,02192839;49,35130655
178,793;15,8766864;37,74304996;49,74929692
179,392;18,12128983;46,7296466;57,78191961
179,991;21,29695282;32,86940029;57,11346945
180,589;25,34320762;37,79992443;60,05425089
181,188;22,00618101;42,19354765;52,12695309
181,786;25,55888078;42,90310362;57,94163702
182,385;25,20051384;38,81019446;39,05134492
182,983;27,1400453;37,13988016;40,14260345
183,581;21,72125105;42,6167044;30,88337916
184,180;16,60395226;39,39104205;29,77001688
184,778;18,77965182;29,51438123;23,63048601
185,377;19,80651619;36,63668176;23,91795008
185,975;20,67724667;30,36738562;27,35972874
186,573;20,94708539;26,63008265;31,00021583
187,171;11,46387634;24,79521056;30,79910197
187,770;20,4631677;18,27804135;32,10306289
188,368;21,10422398;17,17905103;31,40078512
188,966;27,5869717;12,57220629;36,41742703
189,564;22,66042857;13,89801192;35,26923637
190,162;25,30309514;13,39148325;37,62209094
190,760;21,33585206;7,579420432;34,31973809
191,358;29,562483;12,54969537;38,2177163
191,956;23,54472144;10,25549404;32,63055341
192,554;34,15346907;15,57186446;35,8445938
193,152;17,82678354;23,92597441;36,38132484
193,750;27,50885277;26,20967692;34,05963067
194,348;23,7737519;26,21438061;29,45595016
194,946;33,57293887;28,12200496;32,85839663
195,543;19,08296991;32,51803072;26,02372663
