Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;-16,53363637;-14,75318867;17,02717559
172,805;-11,72911343;-11,32032647;13,58892968
173,404;-23,9506153;-11,43289737;16,20291368
174,003;-22,25215464;-11,7186173;12,02520931
174,602;-27,83846592;-8,851114262;14,61020077
175,201;-30,76239585;-7,524695212;15,49970947
175,800;-20,68226906;-5,28839242;12,6253076
176,398;-17,62122349;-2,877386344;8,140543161
176,997;-17,68581188;-2,028458838;8,462004445
177,596;-17,99692453;5,310621037;18,68021933
178,195;-26,26505859;8,051485318;23,19594592
178,793;-18,64889049;9,920844147;23,06068593
179,392;-18,92901791;10,44149573;24,28223258
179,991;-6,823324835;12,41793587;23,24346968
180,589;1,352192233;11,6614929;23,83587426
181,188;-1,194743013;10,87698512;29,60379896
181,786;-8,034570741;5,479662772;30,36070559
182,385;-6,336366403;11,50289046;32,80346855
182,983;-16,50263715;11,39185057;26,31809565
183,581;-6,457960841;10,09809579;26,7311018
184,180;-1,884646784;14,74853359;21,72169055
184,778;3,275807592;15,88646033;24,28295407
185,377;3,551954586;11,27255327;19,4156151
185,975;8,057675835;13,83668606;18,54315698
186,573;8,469515823;14,43381123;13,58851723
187,171;10,26557687;17,45333103;12,49051461
187,770;3,745378754;12,39820533;9,556256618
188,368;8,746030995;11,77111624;11,22615766
188,966;8,713116167;3,544554037;0
189,564;11,99544242;-4,877574687;8,900114966
190,162;6,516161789;0,097674952;4,92283672
190,760;1,255605148;5,951701622;11,25689363
191,358;-5,465796815;9,321138312;8,740765295
191,956;-3,228519036;10,83662726;20,30632451
192,554;-2,97349734;6,231171335;23,4977001
193,152;-0,444064968;7,517324451;24,25429274
193,750;-2,421676793;1,509487332;19,982747
194,348;-7,350427339;7,393392286;23,22805823
194,946;-14,20884454;4,70964797;17,34491683
