Filename-->;PETALO_ENVEZ_1.RFL8;PETALO_ENVEZ_2.RFL8;PETALO_ENVEZ_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;19,59366317;-17,66528778;-5,922864007
172,805;14,52566188;-23,57698369;-18,84914524
173,404;19,10705467;-18,4349492;-9,457512984
174,003;16,40507516;-14,9215219;-16,14706483
174,602;14,10569906;-12,18732414;-9,986835111
175,201;14,4091671;-3,343978376;-5,260191179
175,800;12,29907906;-6,971283466;-6,519775622
176,398;4,121234113;-11,97560577;-10,18296118
176,997;8,721033651;-5,766849969;-8,685654112
177,596;16,22250105;1,412985572;-3,899123383
178,195;16,29502495;-0,531732142;8,799313355
178,793;12,1032125;-0,055689572;-1,763504436
179,392;14,14160252;-9,546049225;6,108723897
179,991;16,51906055;-8,914131911;2,29110516
180,589;8,251900264;-18,89250841;-9,05537522
181,188;-8,776470436;-31,97647093;-24,258824
181,786;2,511415188;-30,46907379;-14,98547069
182,385;3,013925605;-41,15568461;-10,35127819
182,983;-10,82317206;-51,43728657;-28,96341712
183,581;-12,23940903;-45,77449388;-40,91011379
184,180;-3,920280242;-44,91896678;-29,91677675
184,778;-3,73645861;-36,96661484;-34,20296253
185,377;-7,592547281;-50,69559086;-43,29167681
185,975;4,06223044;-42,22126265;-32,95159911
186,573;12,33362974;-38,57586424;-30,78970676
187,171;3,094425807;-31,24004489;-34,94880458
187,770;3,982828377;-27,30741717;-35,4400185
188,368;10,74249514;-19,19431366;-22,03791546
188,966;13,50923416;-18,41688662;-11,53034307
189,564;8,036162527;-24,40984556;-8,965344425
190,162;1,757343049;-32,18584429;-12,78285902
190,760;4,931093241;-15,56847579;0,818259965
191,358;1,468298612;-24,29365879;-6,095661099
191,956;7,203961614;-22,89509177;-5,560558052
192,554;4,272399321;-43,26773742;-16,70119007
193,152;-5,296186769;-41,26506303;-31,45080563
193,750;5,665661389;-30,93494318;-21,84403395
