Filename-->;PUNTA_1.RFL8;PUNTA_2.RFL8;PUNTA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
249,812;28,46539045;-0,921779104;-29,10192178
250,407;26,03947802;-6,37665665;-32,01837447
251,002;29,76588814;-10,82860015;-48,39964218
251,597;26,68595685;-7,36132765;-31,9077248
252,192;20,99935446;-16,6356112;-35,29411597
252,786;16,01796521;-16,59316409;-31,97353887
253,381;29,56353326;-10,03680926;-14,84662635
253,976;23,41160235;-16,83043626;-16,37692196
254,571;23,02265846;-15,12859355;-6,181111691
255,165;13,82252628;-0,692041151;2,666395926
255,760;21,84545752;2,885360444;1,065065919
256,354;27,10368095;11,11111128;7,389515409
256,949;32,05723972;9,826589411;-11,80842277
257,543;31,4577077;14,45212172;-4,04738369
258,138;24,89872291;15,82997489;-3,352876524
258,732;15,632378;18,11198751;-9,359207972
259,327;15,50675694;24,37255926;-0,706451065
259,921;16,35888272;24,24942319;-5,311778312
260,515;21,36426072;12,62870252;-18,15507432
261,110;15,98731222;9,25612847;-8,643280201
261,704;8,163957539;12,58038628;-0,542604406
262,298;16,41163476;13,82978697;15,6724923
262,893;4,67750724;11,29196327;15,23906436
263,487;17,93851657;16,43572811;14,24003415
264,081;22,51400631;16,83501708;21,47399969
264,675;23,03508757;14,95822261;21,33686517
265,269;22,49459229;17,32788775;22,034227
265,863;16,63074674;25,20112201;31,56220762
266,457;19,9725227;28,36564001;30,05513076
267,051;19,15696189;19,83057297;20,50442813
267,645;5,404480665;20,25741425;17,57134762
268,239;17,20006666;19,32250325;22,00138354
268,833;9,710847941;12,75844674;17,90216947
269,427;12,22052;9,119278415;11,68515925
270,021;12,35576838;3,448869737;11,39851686
270,614;12,24679122;0,281541423;7,443251499
271,208;11,66420292;-2,460094492;4,281689258
271,802;3,038829797;-6,585889987;-0,742622475
272,396;3,030302833;-2,008280902;-4,120082859
272,989;8,089438415;-2,533820645;-8,696585787
273,583;10,97046477;2,175905236;-16,60558854
274,177;6,987242612;5,02177929;-26,95362515
274,770;4,327594047;4,790568811;-22,17206067
275,364;10,22727178;0,927189126;-36,05126714
275,957;16,83212001;0,340225127;-34,85998438
276,551;19,83578149;-7,487479762;-44,92486415
277,144;22,55086591;-13,96181538;-53,78878077
277,737;22,06698583;-0,835790047;-35,42281165
278,331;20,09869071;-2,006689318;-30,07460933
278,924;18,36899486;-9,432409203;-31,69728554
279,517;20,35781618;-13,7579317;-11,67270996
280,111;17,38807313;-11,44003949;-24,00903027
280,704;16,10724388;-7,295372578;-26,97000348
281,297;14,50397664;-16,0938829;-31,85247482
281,890;18,63723238;-16,52736555;-23,72607148
282,483;15,94039192;-11,16243161;-17,52630126
283,077;20,30479628;-38,07243496;-29,27267416
283,670;23,00355003;-39,54393599;-34,62180066
284,263;17,25701958;-30,2911074;-30,9992117
284,856;25,66450726;-18,94329705;-44,13659583
285,449;28,92614436;-38,91625574;-50,57471329
286,042;25,55892297;-36,18628469;-30,58527701
286,634;26,87922928;-19,88481464;-14,45892815
287,227;30,67281252;-8,801956044;-12,44227093
287,820;45,66982353;-5,273659573;-13,54047963
288,413;46,96132436;6,312380789;-1,348800254
289,006;46,34855555;11,68941994;1,478953612
289,599;46,27035335;20,62499941;0,442708658
290,191;45,98443214;8,223274223;-3,413905566
290,784;46,74533707;21,38741643;6,545287022
291,377;50,0780616;15,32377771;-6,055363637
291,969;48,70179344;20,11431199;-0,439657289
292,562;39,77948877;13,74269025;7,872245633
293,154;31,68088049;11,11596362;6,573486417
293,747;29,29980778;6,694083856;1,850583772
294,339;31,47451167;12,98208606;3,709167316
294,932;32,45766632;12,25751424;5,862289976
295,524;32,10758262;16,47641565;10,4458328
296,116;24,4405669;12,12723572;12,52485021
296,709;23,78214358;19,03593286;21,03418111
297,301;20,97513216;13,22712115;16,13560652
297,893;26,37381591;15,98399649;13,1644126
298,486;18,88867393;15,70459995;14,89829636
299,078;14,93775989;22,8398364;22,28754734
299,670;12,03327897;17,14694875;23,78736376
300,262;15,90049701;14,88250708;25,79261519
300,854;12,96335494;15,92968539;24,66473428
301,446;26,67086961;21,95550439;27,98594965
302,038;32,80500456;21,8319423;30,62293873
302,630;35,61896167;26,80608394;35,68441217
303,222;32,45867577;12,62250001;24,20619405
303,814;34,93858379;19,73805554;32,92750348
304,406;39,53314896;13,59375021;24,68750096
304,998;37,80223542;3,992901395;17,30257192
305,590;36,50240512;-5,711035503;12,05915736
306,182;32,92174415;-8,657437937;11,88749779
306,773;30,29827275;-8,024691306;9,060846332
307,365;24,23302737;-10,81328785;2,909506965
307,957;24,86959143;-12,32456235;5,570174693
308,549;22,43261682;-1,613616171;14,52254673
309,140;28,6248383;-14,94645773;-6,789702324
309,732;31,35225339;-10,96629202;-5,797752615
310,323;30,30190081;-0,145621129;4,285417198
310,915;27,46104902;6,907440398;9,709887791
311,506;23,02665601;6,909448787;5,728345896
312,098;25,04224438;-1,368709177;2,884817968
312,689;26,40875951;3,596383336;0,12330444
313,281;21,49751437;1,489678474;-4,703128398
313,872;22,36772593;9,586669062;-6,102574746
314,463;14,7568958;12,93532309;3,553660905
315,055;14,09318985;2,865388766;4,803132871
315,646;12,43966391;0,919632436;2,25909655
316,237;12,37750695;-5,699796519;-5,131845466
