Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;53,52003128;52,89770592;46,83002627
172,805;43,96433435;53,08641754;30,58984879
173,404;54,27030129;55,4090507;22,29547465
174,003;56,51933802;63,59116302;26,43646419
174,602;54,45566584;64,26690126;33,38454775
175,201;49,84527045;67,66136098;38,28470407
175,800;55,256558;72,29190421;45,15393559
176,398;64,44593789;76,3122478;46,61282809
176,997;66,60895687;75,66163856;51,19960704
177,596;70,16110821;75,40276713;45,83616916
178,195;79,28555162;73,24196829;57,58256359
178,793;71,37169337;69,99801272;59,20764756
179,392;76,61847626;64,13157318;59,18709258
179,991;87,39436491;65,32864042;54,22535269
180,589;90,61472133;67,44245009;46,850493
181,188;86,82396985;59,33191782;27,41251316
181,786;80,33278543;52,75504389;36,00654561
182,385;76,96586481;57,14285637;30,11377905
182,983;88,21115513;58,97155117;39,68818481
183,581;84,98237906;60,80238644;32,42071041
184,180;100,8573569;66,79657004;22,48636175
184,778;87,64190703;71,87803691;26,33797941
185,377;80,18282301;66,79725934;28,33822818
185,975;90,66630765;54,14081486;44,78014384
186,573;90,7760333;66,72190274;64,12593323
187,171;77,5802767;62,64334546;51,17545531
187,770;76,80383602;50,19729567;45,40586291
188,368;69,65558881;46,9121173;33,13539437
188,966;71,19617266;41,97767493;45,80542262
189,564;67,2973622;44,38762627;46,89337761
190,162;62,21311138;31,58469885;49,12568139
190,760;58,27576789;33,18596495;49,76512949
191,358;46,47477492;36,02846337;43,11125548
191,956;48,14932096;35,59000248;37,36159564
192,554;63,70276491;32,96284493;40,29850982
193,152;74,09925114;50,40788685;32,90278537
193,750;58,07318024;49,21114854;23,43068063
194,348;53,15374193;46,41918556;7,818659388
194,946;36,08815518;39,86619194;15,19087078
195,543;48,4472;54,80452854;26,9638269
196,141;61,65560665;58,64896528;41,74150571
