Filename-->;FLOR_ABIERTA.RFL8;FLOR_ABIERTA_2.RFL8;FLOR_ABIERTA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;82,26371248;62,97160785;71,37300388
172,805;70,37036732;65,94650373;67,55829966
173,404;67,15612945;64,90859835;61,97183366
174,003;67,9558006;76,98895328;76,04972844
174,602;65,89113217;74,73661407;74,29763417
175,201;66,84349926;77,29885325;76,39256923
175,800;66,47662354;92,42873502;76,67047115
176,398;65,43292917;91,0049364;83,49035009
176,997;68,29087752;79,0996853;87,60821357
177,596;64,4883132;86,24914857;98,77467977
178,195;78,52167972;89,53043808;96,33790101
178,793;84,15289653;88,29384888;100,8162511
179,392;85,64844006;78,69264775;91,45191806
179,991;88,68545191;83,7793455;95,98592026
180,589;85,60587418;85,25171239;92,58791091
181,188;73,32979729;70,7317078;75,02650982
181,786;85,16093716;70,86743065;68,49427069
182,385;82,32617026;77,8002476;61,44121378
182,983;93,79102312;74,97264499;57,85010844
183,581;71,48278639;59,90783473;57,0073204
184,180;70,10911268;62,4707704;42,71239281
184,778;67,401879;75,51086588;51,80019352
185,377;69,6049625;78,68103534;48,05745786
185,975;60,2913395;78,76989206;53,89803002
186,573;79,6188968;91,13504784;64,56780129
187,171;70,0401395;87,58600863;61,89793253
187,770;61,41487774;73,39346449;65,05073143
188,368;58,04632018;86,1342048;72,95130385
188,966;76,42743695;96,26794464;79,55343729
189,564;72,79467843;90,56507641;77,85732399
190,162;70,35518836;82,02185786;75,71037585
190,760;72,09173914;78,80630331;73,03122353
191,358;86,35187603;73,05951084;90,00647589
191,956;75,73552093;79,31034595;91,11040634
192,554;73,8647208;68,65671398;89,90155719
193,152;82,90278391;85,38409014;97,17879025
193,750;75,36085841;76,46861886;80,73179091
194,348;63,99473827;63,14060453;75,72272877
194,946;61,2357377;63,59700392;74,02597701
195,543;60,43112028;71,86700365;82,13372069
