Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;0,65721225;16,04455112;33,3835041
172,805;3,799839853;23,2054598;30,99552733
173,404;-0,91303316;23,17839235;29,35510955
174,003;7,475582821;24,49216518;30,87637893
174,602;6,568856415;28,65786582;39,7689757
175,201;15,24805048;35,9617225;43,63636253
175,800;9,86901109;34,22580163;40,19846543
176,398;8,521711218;29,99301637;37,44762519
176,997;2,493676113;32,19662682;31,74315261
177,596;8,615068373;33,46478941;33,91549321
178,195;12,40437206;31,98847174;35,96541721
178,793;20,79828228;32,74487501;40,96431364
179,392;9,865387153;24,83287444;34,84073859
179,991;16,97844286;13,56896226;23,70505865
180,589;8,489082426;6,223699036;14,0863785
181,188;13,24641856;6,916153077;14,61392648
181,786;16,81719141;21,20181324;22,06349107
182,385;29,4487083;24,72515672;35,69734948
182,983;20,26057801;19,8473273;29,43172131
183,581;16,68333179;23,34958036;34,27115738
184,180;13,43028224;20,5326027;17,64559418
184,778;20,61811877;27,18722836;24,38757659
185,377;16,56069798;32,76330899;16,51768325
185,975;24,28878153;39,51285353;17,26270974
186,573;18,25594274;35,37816928;11,96418389
187,171;22,14471417;28,18555425;12,72264597
187,770;12,72385956;29,92487468;-1,168614279
188,368;17,1650065;37,37603478;5,35123982
188,966;8,656716827;30,70434696;-2,467313391
189,564;13,83733607;28,13905974;3,14928424
190,162;5,418001757;36,4370652;1,323760252
190,760;4,494997667;28,56125168;1,590693092
191,358;0,928074177;16,64432499;4,647005955
191,956;5,139541286;20,82056121;5,187455684
192,554;-5,057265714;18,47984469;-0,07285083
193,152;0,956521635;13,49953016;5,714958101
193,750;1,991568464;10,44247818;2,499999978
194,348;8,07957105;3,239556765;4,582267641
194,946;-5,326726929;3,018792495;10,57576971
195,543;8,929878686;-0,098270489;13,95440267
196,141;12,07397296;6,424747695;19,59151325
