Filename-->;FLOR_CERRADA_.2RFL8.RFL8;FLOR_CERRADA_.RFL8;FLOR_CERRADA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;10,01540745;-9,581694394;77,40113166
172,805;22,62139722;-9,015078986;68,93011864
173,404;20,6327846;-7,658586287;62,53787028
174,003;16,77401842;-8,907277564;44,84702071
174,602;17,1719564;-7,479886897;44,45760208
175,201;25,82596586;-9,159260568;47,58027104
175,800;35,67613772;-9,074074881;48,72890451
176,398;24,02896685;-17,48135778;36,14219936
176,997;35,96250561;-6,56467347;27,29766766
177,596;46,62677833;-6,155568531;31,99917527
178,195;41,8669528;-4,328781469;32,27467727
178,793;42,17701103;-2,293578523;37,45676661
179,392;48,91195935;1,444134497;40,66679839
179,991;47,73396124;5,639292521;44,96762657
180,589;48,57988341;3,134256402;42,76134139
181,188;42,97854135;7,668231438;33,99192627
181,786;42,71178941;14,88725277;28,09113196
182,385;34,50558499;8,284714306;28,03061661
182,983;31,58567911;4,161073751;23,80647907
183,581;22,66724293;1,449619703;22,73219292
184,180;22,30576477;-2,860665952;21,1665535
184,778;17,24702089;8,535469356;21,87426984
185,377;18,2367159;7,023337217;7,729468138
185,975;14,69842872;14,05482764;9,452610632
186,573;15,99514586;7,972614931;16,35922423
187,171;22,60888526;16,46381973;19,89494298
187,770;21,86152051;14,32320177;16,75368853
188,368;15,09351849;18,7951192;18,07307533
188,966;25,59395321;27,31142202;16,45788291
189,564;26,65541932;22,97780843;15,94264009
190,162;22,75564231;20,37927785;17,45079059
190,760;27,74383321;22,35041645;21,99592733
191,358;14,57030328;18,74080647;4,980309342
191,956;21,82942852;26,43311997;8,373839626
192,554;27,62783992;22,32142934;6,392045446
193,152;25,89962206;34,30635731;10,32197156
193,750;30,42424373;28,26693776;13,06666879
194,348;30,06851057;19,55605445;17,78736113
194,946;27,42718379;34,21122901;17,04422639
