Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8;PETALO_4.RFL8
Mode/Unit-->;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20
Smoothing-->;4;4;4;4
Wavelength [nm];;;;
172,206;11,34521866;38,7821918;36,08275125;43,24509374
172,805;13,24278436;39,72190665;35,50405377;43,10212014
173,404;15,67554189;38,96515362;39,92673825;46,78820746
174,003;18,16435437;39,30178351;38,19905058;44,67251516
174,602;17,25937495;40,24000127;36,00206679;45,09775507
175,201;15,28864444;40,58857116;34,4294007;45,49508127
175,800;4,883437607;40,15434058;26,84719722;40,14863425
176,398;7,227696715;38,89349996;29,41751465;39,16947233
176,997;4,087735911;41,58295077;16,15337462;34,45730151
177,596;3,420194502;35,41183141;18,77607589;37,91130341
178,195;2,638006429;34,20876188;19,2472696;42,61495521
178,793;8,497160411;36,61918555;15,78393539;37,3210144
179,392;2,330793615;35,42612389;14,32738559;40,83167428
179,991;1,13690292;33,53915355;12,42235959;38,6628534
180,589;-1,158748127;32,74877533;14,60425455;35,89228318
181,188;6,179196309;29,80682201;21,05783285;47,64902476
181,786;4,887985715;31,79966705;23,05863747;56,49502931
182,385;11,85475958;28,7834299;24,69095992;51,95398325
182,983;7,514656212;36,82832812;28,60659785;52,62197247
183,581;13,46258396;31,6955142;30,56431435;48,88470354
184,180;2,774568866;32,39074693;31,06600549;50,12258789
184,778;5,466118239;33,21906074;33,29675628;55,61365811
185,377;-0,054564461;32,28760635;31,91755094;55,0700087
185,975;4,879894025;35,19051886;30,81264103;60,90805186
186,573;6,401108621;36,57975556;32,955909;54,67578808
187,171;10,67593159;36,44705124;35,76317556;48,99130746
187,770;7,329192752;38,03117185;29,67378472;47,40497096
188,368;8,516284183;38,01867809;34,59212145;56,54440541
188,966;2,715179208;40,44914452;31,77022122;55,3648891
189,564;2,800955033;41,52278406;30,82010492;58,28908622
190,162;-4,844792494;42,21698156;33,10454877;52,51266381
190,760;6,894680555;42,30718496;40,53386753;57,67924607
191,358;5,715669256;37,02585601;36,67707149;54,43706093
191,956;6,305578898;42,04246058;33,06150728;58,74069818
192,554;10,05265706;39,5447481;29,15327057;70,40770809
193,152;13,30746553;37,58165022;31,81213325;71,67467687
193,750;9,563366593;34,02847612;30,89139373;66,43836003
194,348;3,787878349;36,73403313;33,36780912;72,40956172
194,946;2,466449406;31,01732733;35,52372178;68,01642979
195,543;14,07458394;35,41446213;40,12313731;68,24399575
196,141;8,554622345;38,30473806;36,44690877;63,14257859
196,739;14,4510593;44,15654013;44,219069;62,18265886
197,337;11,48253689;37,18244785;43,24359139;55,55727155
197,934;13,08497555;42,38675513;42,56632469;50,61747258
198,532;13,93801892;50,43463163;47,55784218;47,83309249
199,130;21,94171953;49,41176526;46,42556801;46,02329562
199,727;26,80748367;42,22510358;37,66671252;46,46079155
200,325;35,50269371;50,21240215;38,64281581;51,25022459
200,922;31,77009207;49,63414706;31,30577052;49,28635816
201,520;37,99870419;43,14193411;30,13427003;54,07120102
202,117;32,93845936;42,67687981;22,38964856;53,76408928
202,715;36,55431699;42,6589921;23,68876931;59,94085414
203,312;28,87226433;38,61837849;20,16864579;55,14318672
203,909;30,54093529;34,72847807;15,65040679;58,4557097
204,507;29,66632654;38,98263347;11,54362476;58,81113949
205,104;35,29239394;44,8086047;15,03067551;55,42142281
205,701;28,49400906;43,67654777;10,9764428;54,22948015
206,298;27,48546862;40,60052033;14,34717867;51,88585282
206,896;23,87106471;45,48872373;20,05268484;53,12824554
207,493;23,43585919;44,58739912;27,7990359;58,2330108
208,090;18,14195281;44,7199988;20,24088387;55,98258355
208,687;27,31432113;49,18735475;28,55313813;59,76569652
209,284;28,3411478;47,8075048;30,10353905;62,83185791
209,881;28,16611271;44,36477371;30,10149957;66,83377452
210,478;20,04178763;43,18639053;35,84635266;63,93612506
211,075;31,98130541;38,93656673;36,99731876;57,57428393
211,672;34,14472348;43,51059856;23,21685816;57,8122111
212,269;36,90590197;43,62600744;23,23508049;51,27163465
212,866;30,41969608;44,57327749;11,65441134;44,46056284
213,463;31,26623485;50,648258;21,80532878;45,49026492
214,060;29,04114292;52,40788686;11,47042066;42,31246557
214,657;24,90162972;55,03932869;14,6056083;42,03059007
215,253;19,65001792;54,12744549;17,83209327;32,19587577
215,850;22,4226362;44,42449229;23,70621304;33,3988998
216,447;11,51119351;45,6739365;21,3357682;40,60628137
217,044;14,59140347;38,82790621;36,94756569;45,02787009
217,640;15,04474315;36,20505547;32,86180625;51,41433695
218,237;20,56332052;35,14904301;40,71333851;59,72319513
218,833;22,73918845;28,28709271;32,08440037;58,01664677
219,430;17,6363231;25,63095673;39,94618778;63,35864631
220,026;15,86794471;29,49975877;33,40221771;61,26568847
220,623;14,35840724;34,59813692;27,74796247;65,42313085
221,219;0,477273229;47,96159164;19,82649064;66,9894923
221,816;8,953637901;45,22558306;26,90397471;68,26621968
222,412;-2,033148837;44,6982071;28,36566245;71,41418328
223,009;-3,200167942;45,75414024;23,52352439;73,7024269
223,605;-5,759645341;37,45084121;17,68217316;67,33610509
224,201;-4,781582347;43,07381265;26,83295518;70,87711104
224,798;-3,373999372;45,83864439;31,48889689;67,72498802
225,394;-2,648197525;43,68522015;32,34416302;73,61932904
225,990;0,395704209;41,66529952;41,02054187;70,46015172
226,586;10,18065501;34,69014837;45,58110566;67,64186091
227,182;9,381096163;38,40824921;40,85422602;67,42496518
227,778;13,32535089;39,59706937;36,42352886;55,57078559
228,374;10,22414412;36,26926216;36,14676039;49,23576823
228,971;22,56138223;44,61589458;36,45276336;50,47942465
229,567;15,48411756;40,25905648;29,99999816;43,59281441
230,163;12,10374552;42,62837244;24,38698798;40,69219807
230,758;7,046651184;41,00235001;22,31312078;36,18109465
231,354;10,14492845;41,95167969;19,13899629;35,75521888
231,950;0,239377387;50,32258212;13,78413424;38,75376917
232,546;-3,346994327;54,95074323;17,03753973;32,42211058
233,142;-1,538799538;59,65679008;11,57951824;33,95780056
233,738;9,857355503;61,6074447;23,02560469;38,89513143
234,334;1,962748193;63,31409773;22,71160526;38,04622625
234,929;5,724699941;62,79455604;24,47761238;41,26656511
235,525;6,308169542;53,73032241;29,54264422;52,27829485
236,121;11,37554667;54,40375413;33,16154332;52,80561211
236,716;18,35542535;55,23266912;23,13191467;47,91420429
237,312;27,39557552;52,25713561;26,04450351;52,01058954
237,907;24,29469929;37,90620362;19,07388778;57,09152574
238,503;31,29264312;40,13041787;31,82503679;62,88062766
239,099;23,08351979;47,14828716;28,43153745;61,90209012
239,694;30,3142016;45,43121079;34,35641959;68,40607173
240,289;29,53324422;44,26572469;37,82566763;70,84633272
240,885;38,3912575;46,60225725;40,37300912;61,96502471
241,480;34,0399853;43,77599893;40,11100893;61,13798779
242,076;34,1990596;37,98558914;49,67594376;69,10036216
242,671;27,94813372;42,11050294;40,50832292;54,14180078
243,266;30,5857656;53,08892466;57,66870938;51,13590301
243,861;22,90621288;46,51124141;50,69263416;49,58760758
244,457;32,16258085;45,01278742;52,35686674;52,57710686
245,052;25,54289293;45,84287919;50,24668016;41,02814866
245,647;27,27034056;48,62684528;51,74384435;40,32042799
246,242;21,53585281;50,81109441;44,7695551;44,8564363
246,837;24,5012914;55,85871598;54,49417747;48,26189599
247,432;15,00336369;61,88703772;53,90682509;49,59023517
248,027;25,02590666;47,89953214;63,55387797;54,53708791
248,622;25,17911884;44,34991262;57,01007292;56,46623388
249,217;24,10856737;48,42726092;63,2600511;61,92315444
249,812;22,65913099;48,80927604;59,58160842;60,44471581
250,407;24,10337491;44,85900169;66,77922736;64,55215807
251,002;24,08911121;52,64964546;62,9992317;62,1428568
251,597;24,51813471;56,30270132;62,09890506;57,96941045
