Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8;PETALO_4.RFL8;PETALO_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
172,206;26,21502064;22,9157751;13,8584667;38,58600737;35,11287343
172,805;28,06506643;36,61829243;17,96977455;40,04664124;41,38837956
173,404;23,68995443;30,54201448;13,43580992;39,46360012;50,85308848
174,003;22,5408986;23,19749386;11,65123353;39,47557334;53,03534375
174,602;14,01969514;23,73083913;14,65355895;41,48398067;51,69134971
175,201;13,27987389;20,74499539;14,68080137;42,69028393;56,0446148
175,800;12,89509394;34,63329464;28,19441264;44,88711977;48,81266642
176,398;17,59766502;38,50233528;26,84440557;43,89140255;50,11118979
176,997;13,44961119;20,44769849;25,43712645;47,62589845;52,71629544
177,596;16,28004381;18,54440719;18,36189582;40,79325331;53,28898985
178,195;14,18650734;12,10902668;17,88230009;33,13008091;44,27832944
178,793;19,65217393;16,87727478;13,44607203;34,61185516;32,71605048
179,392;20,48282146;18,89962068;21,23639202;29,82855141;29,998349
179,991;32,18516664;13,37520363;16,61184064;29,95177152;29,45241938
180,589;33,81651053;21,35440289;24,96749121;31,81380365;27,00496355
181,188;41,66666654;12,06693329;21,10878991;28,34596065;27,33789442
181,786;41,34403277;16,93318726;24,22200076;29,58410585;27,67284988
182,385;36,28955893;26,040326;25,18576443;19,43855044;20,22780801
182,983;31,94938677;33,36925986;38,22426051;26,90975598;26,51842609
183,581;26,86534311;28,16873389;34,56408327;25,99023256;28,64267012
184,180;39,01333961;27,2707691;44,71544584;25,50872148;36,0803599
184,778;40,42553038;30,0450361;34,47782595;20,60022335;31,00630299
185,377;24,11472185;32,67070053;35,27467801;19,00020519;25,53826465
185,975;10,98648204;28,04695756;28,39244399;14,78168376;21,9270721
186,573;0,09348831;19,2429648;33,0197917;11,11574563;15,32012294
187,171;16,15384634;11,25127135;27,64755253;3,32226146;12,27111368
187,770;23,76918983;11,02456579;25,80705463;6,864276054;21,46237375
188,368;23,49027629;14,09422394;15,91111032;3,269230283;12,71756605
188,966;35,35773565;17,39980563;23,64672473;9,673764428;15,48975056
189,564;20,30373876;17,8205909;16,88715983;5,030488027;15,80031918
190,162;11,52368797;20,54054123;24,80765456;18,18181836;20,83072573
190,760;17,76332316;19,48634375;21,68743885;22,18828523;33,67346709
191,358;15,56063949;29,68624196;26,15472232;29,22066638;36,77191601
191,956;14,11225107;36,74919309;16,05091107;27,508509;43,10376428
192,554;-2,564813177;34,84522653;15,37310651;28,31426334;42,16480882
193,152;-9,698685233;45,18567984;15,68280125;27,08029156;47,32375063
193,750;-19,8049779;40,12388273;18,42718561;24,76219243;48,09507603
194,348;-27,44270103;40,94316562;14,74173032;26,04384865;50,28104361
194,946;-41,05262879;40,74159429;26,48638266;27,01390959;47,29681852
195,543;-11,59419949;41,74781053;21,71871796;25,33557027;48,96178511
196,141;-6,037251898;44,15331532;29,68687226;19,98990598;35,42662172
196,739;-7,056102048;40,2076134;23,22842604;16,30453101;32,65269794
197,337;-9,471236832;42,56410337;32,87509658;24,6672449;37,30625352
197,934;4,7241785;48,52205502;32,97115874;29,0223;42,20825744
198,532;14,85072819;42,49480263;32,99842385;29,33748052;38,04503027
199,130;26,58087413;39,02539524;24,57118346;32,56911652;36,22982745
199,727;29,48827276;42,27563584;29,27864099;25,49518561;33,59749233
200,325;25,34846456;44,48810924;23,75865549;27,93712656;33,47517703
200,922;18,14116274;51,30418696;32,70566726;26,78390398;38,03501825
201,520;16,67289097;48,23665405;29,8862642;24,98223241;45,28471703
202,117;17,05099688;44,83356498;38,42960282;24,99569174;50,08264497
202,715;26,41392347;48,34449271;33,02973998;14,48002718;42,65604404
203,312;13,18343347;46,16220201;28,12329044;10,84015625;40,93864753
203,909;13,68588324;43,06980573;24,09490799;6,912525026;42,62708999
204,507;7,402483084;48,21763768;36,73144864;1,381832261;44,84380429
205,104;16,26984049;40,12291261;31,60037201;7,26839771;53,09993103
205,701;18,18181828;38,84192512;34,26250664;4,284919026;53,24806483
206,298;24,88441554;29,4367201;28,73665413;5,665722164;47,14853729
206,896;35,13750633;27,83086489;32,6678155;10,53620054;47,27891165
207,493;35,70922866;26,71562428;22,73757602;15,21935468;48,04097225
208,090;32,00645355;28,96081882;36,79810994;15,52757669;46,44093152
208,687;34,73128933;32,13275108;38,83061324;11,29098464;41,2955472
209,284;27,27029807;41,77514743;42,50983346;11,65781963;43,39527671
209,881;39,70832104;39,17071991;37,4501198;11,27356525;44,93333198
210,478;20,49647858;45,37777935;41,15320262;13,94062251;38,77703021
211,075;27,43411884;44,3037957;42,48841955;14,97713499;35,05808005
211,672;27,67425738;37,37107112;49,7923168;9,482578165;30,35666344
212,269;22,55236391;56,50895167;47,89164631;7,055212301;33,78305124
212,866;26,79505592;57,47009504;57,78256847;7,670624515;29,807954
213,463;27,35763051;42,20862142;36,80387386;10,12293457;30,63738708
214,060;27,53755226;37,07523047;34,86196641;22,0895526;37,07006251
