Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8;FLOR_4.RFL8
Mode/Unit-->;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20
Smoothing-->;4;4;4;4
Wavelength [nm];;;;
172,206;13,95950097;63,37402974;53,80910927;38,93557129
172,805;19,64179173;59,81908267;58,65632889;34,88435554
173,404;11,6252843;59,06711368;65,75512473;39,17018171
174,003;17,54835811;56,68485799;58,64098424;35,70201806
174,602;22,68338031;56,79746236;51,63071046;28,74090944
175,201;23,93280401;56,81717506;48,85707491;23,60415901
175,800;13,88371482;58,01511161;38,68058799;22,45461727
176,398;21,44702867;68,28612676;44,41267646;15,17620723
176,997;7,45197395;58,81710886;40,78269963;16,24114877
177,596;3,039963646;63,81452908;51,26735598;21,52857467
178,195;-13,60881785;63,4581127;47,61061965;31,5841586
178,793;0,946530886;67,1608962;45,40401795;29,59781239
179,392;3,245979773;64,61211701;50,06350476;28,7557784
179,991;-0,418520588;69,30533573;65,31902756;34,32395169
180,589;3,951757386;57,77777403;61,19898179;33,60169456
181,188;8,739607902;56,64739483;63,81578858;36,22806982
181,786;1,412428066;43,34902176;59,776642;33,55704679
182,385;22,41992852;48,35084499;61,36591823;31,44517243
182,983;34,9980654;40,7070055;59,67686087;17,8215462
183,581;54,13137515;45,27299756;55,24115643;4,290910052
184,180;47,6355652;36,87050461;53,87188417;-4,265278482
184,778;43,34037725;41,10249293;49,61354948;-3,50175048
185,377;43,47572667;26,97959303;40,60020684;2,480134938
185,975;42,19323795;24,49664572;45,42619316;3,653616835
186,573;46,52301317;13,64063856;48,29026117;11,89445398
187,171;60,56533294;8,752843209;55,39594345;17,60535588
187,770;52,58573883;2,19806079;47,26720558;23,08471839
188,368;52,16350767;10,70760883;43,38756527;26,89436319
188,966;42,65948913;7,088121201;49,70210517;26,17217426
189,564;52,27696534;14,75621481;45,4998957;29,0492631
190,162;46,31639205;11,31923772;49,12613155;30,23979416
190,760;49,92028719;30,05341386;46,90938145;24,6551374
191,358;52,88356646;41,2124186;44,17856202;24,28060765
191,956;52,43808062;49,07989539;36,52659873;14,96078864
192,554;41,68322593;50,05823711;29,01795053;20,58414253
193,152;44,46497497;66,66666061;42,25244372;14,05690638
193,750;45,03385622;57,92931556;47,92826304;22,21107424
194,348;48,11168531;61,94390234;49,45446683;18,5336049
194,946;41,9667862;53,77536698;54,326047;18,7205254
195,543;50,51352336;57,20360599;57,03106433;19,95492737
196,141;45,89994674;50,63709133;48,80826302;21,91234932
196,739;52,32881371;42,74358854;50,06549621;27,9586091
197,337;50,97713784;32,60211904;47,964025;36,36012348
197,934;51,65348677;35,73201214;50,37376709;30,60194055
198,532;48,83677256;24,36932089;37,92257505;34,26842858
199,130;37,97515175;30,26389441;42,6503052;30,03406455
199,727;31,84738244;24,67532498;35,45476154;42,8814524
200,325;29,00625085;29,51162092;31,70370312;45,01249259
200,922;19,81799867;24,44503449;24,13508947;48,08146876
201,520;26,99747484;18,93399506;40,78332637;57,25161112
202,117;23,31946724;32,1917822;39,08284526;53,58954279
202,715;32,15264649;46,78727654;41,56812871;53,79107704
203,312;40,56818277;40,46258563;47,71996258;61,29597125
203,909;38,28261018;42,90097722;51,8021911;53,08508122
204,507;46,01662185;36,5011354;44,4993184;57,34782469
205,104;51,4042031;40,01036596;53,63065475;52,34722657
205,701;50,32783326;40,67155004;58,8469907;54,9413745
206,298;56,13589731;46,16596481;58,79265088;50,63520991
206,896;44,47740823;38,92729275;51,92265672;46,30586163
207,493;45,10564938;36,64596305;53,33073002;49,65005289
208,090;37,16603272;31,59784802;55,88547216;43,8192661
208,687;27,35763016;42,70755957;55,80357029;32,40760879
209,284;26,0046718;48,67494235;55,22231658;45,58584343
209,881;15,56473616;56,67844336;56,71043944;34,55045204
210,478;15,83675338;49,07796297;44,44954168;32,45359019
211,075;26,1428201;45,66473882;45,59552016;31,18948731
211,672;30,37882275;42,1287698;46,79525761;38,18373818
212,269;45,01631607;44,92449707;54,03254641;32,12669755
212,866;26,38927798;37,1809126;50,08200368;32,7094266
213,463;38,51480349;44,18311605;49,91030291;40,42908209
214,060;39,44192963;31,45521259;37,52894039;43,19906551
214,657;38,69643205;13,28976102;37,002524;39,80384075
215,253;45,08373801;7,927846918;40,17550624;49,36188467
215,850;50,66278041;-0,964810977;40,74684358;45,95998279
216,447;42,75263058;17,12114596;32,39212535;37,46701985
217,044;30,4227753;26,27938573;35,48453592;34,92192349
217,640;17,32247853;13,40976687;21,85288498;45,22343535
218,237;29,25457328;18,69791262;26,94497293;34,01025665
218,833;19,48026072;14,62697497;25,63523535;23,49125235
219,430;15,42120843;22,33250632;26,18318057;22,92951541
220,026;19,85918364;31,28664158;24,49392708;24,97394148
220,623;17,85639074;28,8631711;25,8093042;19,17146622
221,219;9,932431915;30,25141826;21,8551957;19,22929503
221,816;20,46296434;20,41655053;25,04938135;24,03731693
222,412;29,74117422;22,70827514;27,32613225;21,88565845
223,009;36,29335501;32,28723532;30,97643082;7,556726492
223,605;36,15555451;35,44238557;30,27403296;13,2834055
224,201;51,7861739;49,58559283;32,35737222;12,85115359
224,798;49,47604733;39,68633562;31,78937087;13,1206427
225,394;50,53952178;45,15929398;32,10227389;13,67829017
225,990;48,94665813;39,66415899;23,04228059;18,97184959
226,586;49,12935317;54,42176826;30,73872161;26,30556828
227,182;38,68092697;56,47668419;27,65740641;24,20312252
227,778;42,21115675;55,72192225;29,66484408;22,65746678
228,374;36,18079745;49,08503818;30,85368544;31,21499256
228,971;38,0052721;41,93724468;29,59660341;25,80333319
229,567;25,78241658;32,10539464;30,23978706;24,80351375
230,163;41,99370185;33,8878452;36,74418544;23,51752136
230,758;37,97112947;29,67824935;30,56034397;16,91126798
231,354;44,38974315;21,75796384;38,72296516;16,23458345
231,950;47,15086508;11,74739127;40,88961428;12,12281722
232,546;47,74842899;9,049384794;42,46823895;12,43013149
233,142;45,48369686;-6,404230334;40,16984918;18,74109341
233,738;57,09401644;17,39621582;47,31501148;15,73560686
234,334;54,03298343;16,0254382;55,98861496;16,23406169
234,929;67,27272657;18,42657698;52,49359294;24,56484406
235,525;61,10610396;24,40027279;54,21310593;33,30148173
236,121;57,87631247;31,41047837;55,23575339;24,03799264
236,716;61,38553894;47,7209923;49,08495246;26,31342681
237,312;50,87052532;48,97418834;54,40180659;6,536940105
237,907;66,48136071;52,89565369;55,9519534;7,515055656
238,503;67,26913619;74,47871624;53,18460584;-0,222151933
239,099;55,19753516;60,58792015;45,72855669;-0,039448257
239,694;60,97102779;64,68447039;42,8729807;16,4920687
240,289;55,75167348;64,53515611;42,41615101;11,51716513
240,885;57,04343193;60,0266216;45,2662706;4,100227665
241,480;49,63462133;62,80301804;50,35472744;25,36788135
242,076;40,20144352;65,60228962;53,67088686;12,40310081
242,671;40,3019717;62,0484301;45,6207417;34,9139246
243,266;40,65805131;62,79740226;46,51558906;43,38452642
243,861;44,40493185;57,34150543;44,60206359;38,97745916
244,457;51,86871186;62,20835234;50,63594599;32,51244442
245,052;49,03364395;59,73154431;53,32633794;35,86005767
245,647;47,59439216;56,78899221;51,34347006;26,31421884
246,242;40,2441645;53,67298565;57,2873002;26,17724566
246,837;47,04486471;44,64809354;56,56588821;20,79853944
247,432;47,1926833;43,1918916;56,17919521;24,65405229
248,027;55,37938804;49,83660063;59,36022494;11,74542477
248,622;45,10937963;45,29001352;59,88499675;6,963086898
249,217;29,8164028;37,92330733;60,45721976;-3,83714087
249,812;31,10571299;35,01470435;59,48315705;8,10811045
250,407;31,43305586;31,00649265;56,3979949;15,70272611
251,002;24,61074857;28,69813011;62,14269385;17,7500866
251,597;30,75086415;32,11976707;63,89063875;14,53692801
